0,1,2,3,4,5,6
1201,20191230211500-15-3320200,強風注意報,倉敷市,2019-12-30 21:15:00+09,2019-12-31 16:15:00+09,0日19時00分00秒間
1202,20191230211500-16-3320200,波浪注意報,倉敷市,2019-12-30 21:15:00+09,2019-12-31 16:15:00+09,0日19時00分00秒間
1203,20191230184000-20-3320200,濃霧注意報,倉敷市,2019-12-30 18:40:00+09,2019-12-31 05:55:00+09,0日11時15分00秒間
1204,20191229035000-20-3320200,濃霧注意報,倉敷市,2019-12-29 03:50:00+09,2019-12-29 11:25:00+09,0日07時35分00秒間
1205,20191226194600-15-3320200,強風注意報,倉敷市,2019-12-26 19:46:00+09,2019-12-27 16:10:00+09,0日20時24分00秒間
1206,20191226194600-16-3320200,波浪注意報,倉敷市,2019-12-26 19:46:00+09,2019-12-27 16:10:00+09,0日20時24分00秒間
1207,20191226100400-19-3320200,高潮注意報,倉敷市,2019-12-26 10:04:00+09,2019-12-26 12:25:00+09,0日02時21分00秒間
1208,20191223033500-20-3320200,濃霧注意報,倉敷市,2019-12-23 03:35:00+09,2019-12-23 10:05:00+09,0日06時30分00秒間
1209,20191219034500-20-3320200,濃霧注意報,倉敷市,2019-12-19 03:45:00+09,2019-12-19 10:20:00+09,0日06時35分00秒間
1210,20191217173600-20-3320200,濃霧注意報,倉敷市,2019-12-17 17:36:00+09,2019-12-18 10:05:00+09,0日16時29分00秒間
1211,20191213211000-20-3320200,濃霧注意報,倉敷市,2019-12-13 21:10:00+09,2019-12-14 10:05:00+09,0日12時55分00秒間
1212,20191211225000-20-3320200,濃霧注意報,倉敷市,2019-12-11 22:50:00+09,2019-12-12 08:00:00+09,0日09時10分00秒間
1213,20191210202500-20-3320200,濃霧注意報,倉敷市,2019-12-10 20:25:00+09,2019-12-11 10:30:00+09,0日14時05分00秒間
1214,20191209203000-20-3320200,濃霧注意報,倉敷市,2019-12-09 20:30:00+09,2019-12-10 11:48:00+09,0日15時18分00秒間
1215,20191209035000-20-3320200,濃霧注意報,倉敷市,2019-12-09 03:50:00+09,2019-12-09 10:08:00+09,0日06時18分00秒間
1216,20191201201200-14-3320200,雷注意報,倉敷市,2019-12-01 20:12:00+09,2019-12-02 08:10:00+09,0日11時58分00秒間
1217,20191128080100-15-3320200,強風注意報,倉敷市,2019-11-28 08:01:00+09,2019-11-28 16:05:00+09,0日08時04分00秒間
1218,20191128080100-16-3320200,波浪注意報,倉敷市,2019-11-28 08:01:00+09,2019-11-28 16:05:00+09,0日08時04分00秒間
1219,20191123203500-20-3320200,濃霧注意報,倉敷市,2019-11-23 20:35:00+09,2019-11-24 10:10:00+09,0日13時35分00秒間
1220,20191122054700-20-3320200,濃霧注意報,倉敷市,2019-11-22 05:47:00+09,2019-11-22 10:10:00+09,0日04時23分00秒間
1221,20191120212600-20-3320200,濃霧注意報,倉敷市,2019-11-20 21:26:00+09,2019-11-21 09:54:00+09,0日12時28分00秒間
1222,20191117041500-20-3320200,濃霧注意報,倉敷市,2019-11-17 04:15:00+09,2019-11-17 11:10:00+09,0日06時55分00秒間
1223,20191113160200-15-3320200,強風注意報,倉敷市,2019-11-13 16:02:00+09,2019-11-14 16:10:00+09,1日00時08分00秒間
