0,1,2,3,4,5,6
1,20241127103600-14-3320200,雷注意報,倉敷市,2024-11-27 10:36:00+09,2024-11-30 04:05:00+09,2日17時29分00秒間
2,20241127103600-15-3320200,強風注意報,倉敷市,2024-11-27 10:36:00+09,2024-11-27 21:34:00+09,0日10時58分00秒間
3,20241127103600-16-3320200,波浪注意報,倉敷市,2024-11-27 10:36:00+09,2024-11-27 21:34:00+09,0日10時58分00秒間
4,20241126040900-14-3320200,雷注意報,倉敷市,2024-11-26 04:09:00+09,2024-11-26 17:35:00+09,0日13時26分00秒間
5,20241117042300-19-3320200,高潮注意報,倉敷市,2024-11-17 04:23:00+09,2024-11-17 13:51:00+09,0日09時28分00秒間
6,20241105180500-14-3320200,雷注意報,倉敷市,2024-11-05 18:05:00+09,2024-11-06 04:40:00+09,0日10時35分00秒間
7,20241102033500-15-3320200,強風注意報,倉敷市,2024-11-02 03:35:00+09,2024-11-02 18:09:00+09,0日14時34分00秒間
8,20241102033500-16-3320200,波浪注意報,倉敷市,2024-11-02 03:35:00+09,2024-11-02 18:09:00+09,0日14時34分00秒間
9,20241101192700-10-3320200,大雨注意報,倉敷市,2024-11-01 19:27:00+09,2024-11-02 18:09:00+09,0日22時42分00秒間
10,20241102071500-18-3320200,洪水注意報,倉敷市,2024-11-02 07:15:00+09,2024-11-02 14:23:00+09,0日07時08分00秒間
11,20241101192700-14-3320200,雷注意報,倉敷市,2024-11-01 19:27:00+09,2024-11-02 14:23:00+09,0日18時56分00秒間
12,20241102033500-19-3320200,高潮注意報,倉敷市,2024-11-02 03:35:00+09,2024-11-02 13:20:00+09,0日09時45分00秒間
13,20241022160500-14-3320200,雷注意報,倉敷市,2024-10-22 16:05:00+09,2024-10-23 10:03:00+09,0日17時58分00秒間
14,20241018201200-14-3320200,雷注意報,倉敷市,2024-10-18 20:12:00+09,2024-10-19 17:53:00+09,0日21時41分00秒間
15,20241019081100-19-3320200,高潮注意報,倉敷市,2024-10-19 08:11:00+09,2024-10-19 14:07:00+09,0日05時56分00秒間
16,20240921182200-15-3320200,強風注意報,倉敷市,2024-09-21 18:22:00+09,2024-09-22 12:13:00+09,0日17時51分00秒間
17,20240921182200-16-3320200,波浪注意報,倉敷市,2024-09-21 18:22:00+09,2024-09-22 12:13:00+09,0日17時51分00秒間
18,20240921095300-14-3320200,雷注意報,倉敷市,2024-09-21 09:53:00+09,2024-09-22 12:13:00+09,1日02時20分00秒間
19,20240920095500-14-3320200,雷注意報,倉敷市,2024-09-20 09:55:00+09,2024-09-20 20:43:00+09,0日10時48分00秒間
20,20240919100300-14-3320200,雷注意報,倉敷市,2024-09-19 10:03:00+09,2024-09-19 18:33:00+09,0日08時30分00秒間
21,20240918101200-14-3320200,雷注意報,倉敷市,2024-09-18 10:12:00+09,2024-09-18 20:24:00+09,0日10時12分00秒間
22,20240917095200-14-3320200,雷注意報,倉敷市,2024-09-17 09:52:00+09,2024-09-17 20:39:00+09,0日10時47分00秒間
23,20240916100700-14-3320200,雷注意報,倉敷市,2024-09-16 10:07:00+09,2024-09-16 20:32:00+09,0日10時25分00秒間
24,20240916132000-10-3320200,大雨注意報,倉敷市,2024-09-16 13:20:00+09,2024-09-16 15:48:00+09,0日02時28分00秒間
25,20240916132000-18-3320200,洪水注意報,倉敷市,2024-09-16 13:20:00+09,2024-09-16 15:48:00+09,0日02時28分00秒間
26,20240914100300-14-3320200,雷注意報,倉敷市,2024-09-14 10:03:00+09,2024-09-15 23:54:00+09,1日13時51分00秒間
27,20240913100500-14-3320200,雷注意報,倉敷市,2024-09-13 10:05:00+09,2024-09-13 20:31:00+09,0日10時26分00秒間
28,20240912100600-14-3320200,雷注意報,倉敷市,2024-09-12 10:06:00+09,2024-09-12 21:10:00+09,0日11時04分00秒間
29,20240911100300-14-3320200,雷注意報,倉敷市,2024-09-11 10:03:00+09,2024-09-11 23:20:00+09,0日13時17分00秒間
30,20240911133400-18-3320200,洪水注意報,倉敷市,2024-09-11 13:34:00+09,2024-09-11 17:23:00+09,0日03時49分00秒間
31,20240910100800-14-3320200,雷注意報,倉敷市,2024-09-10 10:08:00+09,2024-09-10 20:31:00+09,0日10時23分00秒間
32,20240909011000-14-3320200,雷注意報,倉敷市,2024-09-09 01:10:00+09,2024-09-09 04:06:00+09,0日02時56分00秒間
33,20240908100600-14-3320200,雷注意報,倉敷市,2024-09-08 10:06:00+09,2024-09-08 20:03:00+09,0日09時57分00秒間
34,20240903153000-14-3320200,雷注意報,倉敷市,2024-09-03 15:30:00+09,2024-09-03 20:27:00+09,0日04時57分00秒間
35,20240903035100-18-3320200,洪水注意報,倉敷市,2024-09-03 03:51:00+09,2024-09-03 05:54:00+09,0日02時03分00秒間
36,20240826160300-14-3320200,雷注意報,倉敷市,2024-08-26 16:03:00+09,2024-08-31 14:47:00+09,4日22時44分00秒間
37,20240831053900-10-3320200,大雨注意報,倉敷市,2024-08-31 05:39:00+09,2024-08-31 10:14:00+09,0日04時35分00秒間
38,20240829033800-15-3320200,強風注意報,倉敷市,2024-08-29 03:38:00+09,2024-08-31 10:14:00+09,2日06時36分00秒間
39,20240829033800-16-3320200,波浪注意報,倉敷市,2024-08-29 03:38:00+09,2024-08-31 10:14:00+09,2日06時36分00秒間
40,20240831003500-03-3320200,大雨警報,倉敷市,2024-08-31 00:35:00+09,2024-08-31 05:39:00+09,0日05時04分00秒間
41,20240831002600-18-3320200,洪水注意報,倉敷市,2024-08-31 00:26:00+09,2024-08-31 05:39:00+09,0日05時13分00秒間
42,20240830052300-10-3320200,大雨注意報,倉敷市,2024-08-30 05:23:00+09,2024-08-31 00:35:00+09,0日19時12分00秒間
43,20240830101400-19-3320200,高潮注意報,倉敷市,2024-08-30 10:14:00+09,2024-08-30 23:20:00+09,0日13時06分00秒間
44,20240827141100-18-3320200,洪水注意報,倉敷市,2024-08-27 14:11:00+09,2024-08-27 19:04:00+09,0日04時53分00秒間
45,20240825065200-14-3320200,雷注意報,倉敷市,2024-08-25 06:52:00+09,2024-08-25 23:22:00+09,0日16時30分00秒間
46,20240825194700-03-3320200,大雨警報,倉敷市,2024-08-25 19:47:00+09,2024-08-25 20:49:00+09,0日01時02分00秒間
47,20240825194700-04-3320200,洪水警報,倉敷市,2024-08-25 19:47:00+09,2024-08-25 20:49:00+09,0日01時02分00秒間
48,20240825192600-10-3320200,大雨注意報,倉敷市,2024-08-25 19:26:00+09,2024-08-25 19:47:00+09,0日00時21分00秒間
49,20240825192600-18-3320200,洪水注意報,倉敷市,2024-08-25 19:26:00+09,2024-08-25 19:47:00+09,0日00時21分00秒間
50,20240825071400-18-3320200,洪水注意報,倉敷市,2024-08-25 07:14:00+09,2024-08-25 09:56:00+09,0日02時42分00秒間
51,20240824041700-14-3320200,雷注意報,倉敷市,2024-08-24 04:17:00+09,2024-08-24 21:34:00+09,0日17時17分00秒間
52,20240823101200-14-3320200,雷注意報,倉敷市,2024-08-23 10:12:00+09,2024-08-23 20:39:00+09,0日10時27分00秒間
53,20240822153900-19-3320200,高潮注意報,倉敷市,2024-08-22 15:39:00+09,2024-08-23 02:47:00+09,0日11時08分00秒間
54,20240822101300-14-3320200,雷注意報,倉敷市,2024-08-22 10:13:00+09,2024-08-22 20:05:00+09,0日09時52分00秒間
55,20240821155000-19-3320200,高潮注意報,倉敷市,2024-08-21 15:50:00+09,2024-08-22 02:22:00+09,0日10時32分00秒間
56,20240821100800-14-3320200,雷注意報,倉敷市,2024-08-21 10:08:00+09,2024-08-21 20:42:00+09,0日10時34分00秒間
57,20240820154800-19-3320200,高潮注意報,倉敷市,2024-08-20 15:48:00+09,2024-08-21 02:13:00+09,0日10時25分00秒間
58,20240819024300-14-3320200,雷注意報,倉敷市,2024-08-19 02:43:00+09,2024-08-20 21:22:00+09,1日18時39分00秒間
59,20240819164800-19-3320200,高潮注意報,倉敷市,2024-08-19 16:48:00+09,2024-08-20 01:28:00+09,0日08時40分00秒間
60,20240815040900-14-3320200,雷注意報,倉敷市,2024-08-15 04:09:00+09,2024-08-16 04:41:00+09,1日00時32分00秒間
61,20240814100500-14-3320200,雷注意報,倉敷市,2024-08-14 10:05:00+09,2024-08-14 23:39:00+09,0日13時34分00秒間
62,20240809040400-14-3320200,雷注意報,倉敷市,2024-08-09 04:04:00+09,2024-08-09 20:17:00+09,0日16時13分00秒間
63,20240809143000-10-3320200,大雨注意報,倉敷市,2024-08-09 14:30:00+09,2024-08-09 16:30:00+09,0日02時00分00秒間
64,20240809143000-18-3320200,洪水注意報,倉敷市,2024-08-09 14:30:00+09,2024-08-09 16:30:00+09,0日02時00分00秒間
65,20240807100700-14-3320200,雷注意報,倉敷市,2024-08-07 10:07:00+09,2024-08-07 18:34:00+09,0日08時27分00秒間
66,20240806100400-14-3320200,雷注意報,倉敷市,2024-08-06 10:04:00+09,2024-08-06 23:31:00+09,0日13時27分00秒間
67,20240806155700-10-3320200,大雨注意報,倉敷市,2024-08-06 15:57:00+09,2024-08-06 17:45:00+09,0日01時48分00秒間
68,20240806155700-18-3320200,洪水注意報,倉敷市,2024-08-06 15:57:00+09,2024-08-06 17:45:00+09,0日01時48分00秒間
69,20240805041200-14-3320200,雷注意報,倉敷市,2024-08-05 04:12:00+09,2024-08-05 22:42:00+09,0日18時30分00秒間
70,20240803040700-14-3320200,雷注意報,倉敷市,2024-08-03 04:07:00+09,2024-08-04 23:27:00+09,1日19時20分00秒間
71,20240804183700-10-3320200,大雨注意報,倉敷市,2024-08-04 18:37:00+09,2024-08-04 20:02:00+09,0日01時25分00秒間
72,20240804183700-18-3320200,洪水注意報,倉敷市,2024-08-04 18:37:00+09,2024-08-04 20:02:00+09,0日01時25分00秒間
73,20240804164400-03-3320200,大雨警報,倉敷市,2024-08-04 16:44:00+09,2024-08-04 18:37:00+09,0日01時53分00秒間
74,20240804164400-04-3320200,洪水警報,倉敷市,2024-08-04 16:44:00+09,2024-08-04 18:37:00+09,0日01時53分00秒間
75,20240804104400-10-3320200,大雨注意報,倉敷市,2024-08-04 10:44:00+09,2024-08-04 16:44:00+09,0日06時00分00秒間
76,20240804104400-18-3320200,洪水注意報,倉敷市,2024-08-04 10:44:00+09,2024-08-04 16:44:00+09,0日06時00分00秒間
77,20240730101500-14-3320200,雷注意報,倉敷市,2024-07-30 10:15:00+09,2024-07-30 18:41:00+09,0日08時26分00秒間
78,20240728100500-14-3320200,雷注意報,倉敷市,2024-07-28 10:05:00+09,2024-07-28 20:20:00+09,0日10時15分00秒間
79,20240727095000-14-3320200,雷注意報,倉敷市,2024-07-27 09:50:00+09,2024-07-27 22:10:00+09,0日12時20分00秒間
80,20240726101000-14-3320200,雷注意報,倉敷市,2024-07-26 10:10:00+09,2024-07-26 20:10:00+09,0日10時00分00秒間
81,20240723041000-14-3320200,雷注意報,倉敷市,2024-07-23 04:10:00+09,2024-07-26 03:06:00+09,2日22時56分00秒間
82,20240724200600-19-3320200,高潮注意報,倉敷市,2024-07-24 20:06:00+09,2024-07-25 02:54:00+09,0日06時48分00秒間
83,20240723153500-19-3320200,高潮注意報,倉敷市,2024-07-23 15:35:00+09,2024-07-24 02:50:00+09,0日11時15分00秒間
84,20240722152600-19-3320200,高潮注意報,倉敷市,2024-07-22 15:26:00+09,2024-07-23 02:47:00+09,0日11時21分00秒間
85,20240722040500-14-3320200,雷注意報,倉敷市,2024-07-22 04:05:00+09,2024-07-22 21:11:00+09,0日17時06分00秒間
86,20240721153900-19-3320200,高潮注意報,倉敷市,2024-07-21 15:39:00+09,2024-07-22 02:02:00+09,0日10時23分00秒間
87,20240721043200-14-3320200,雷注意報,倉敷市,2024-07-21 04:32:00+09,2024-07-21 21:52:00+09,0日17時20分00秒間
88,20240719042300-14-3320200,雷注意報,倉敷市,2024-07-19 04:23:00+09,2024-07-20 19:48:00+09,1日15時25分00秒間
89,20240718095000-14-3320200,雷注意報,倉敷市,2024-07-18 09:50:00+09,2024-07-18 20:16:00+09,0日10時26分00秒間
90,20240714041700-14-3320200,雷注意報,倉敷市,2024-07-14 04:17:00+09,2024-07-17 20:10:00+09,3日15時53分00秒間
