43,20240806155700-18-3320200,洪水注意報,倉敷市,2024-08-06 15:57:00+09,2024-08-06 17:45:00+09,0日01時48分00秒間
44,20240805041200-14-3320200,雷注意報,倉敷市,2024-08-05 04:12:00+09,2024-08-05 22:42:00+09,0日18時30分00秒間
45,20240803040700-14-3320200,雷注意報,倉敷市,2024-08-03 04:07:00+09,2024-08-04 23:27:00+09,1日19時20分00秒間
46,20240804183700-10-3320200,大雨注意報,倉敷市,2024-08-04 18:37:00+09,2024-08-04 20:02:00+09,0日01時25分00秒間
47,20240804183700-18-3320200,洪水注意報,倉敷市,2024-08-04 18:37:00+09,2024-08-04 20:02:00+09,0日01時25分00秒間
48,20240804164400-03-3320200,大雨警報,倉敷市,2024-08-04 16:44:00+09,2024-08-04 18:37:00+09,0日01時53分00秒間
49,20240804164400-04-3320200,洪水警報,倉敷市,2024-08-04 16:44:00+09,2024-08-04 18:37:00+09,0日01時53分00秒間
50,20240804104400-10-3320200,大雨注意報,倉敷市,2024-08-04 10:44:00+09,2024-08-04 16:44:00+09,0日06時00分00秒間
51,20240804104400-18-3320200,洪水注意報,倉敷市,2024-08-04 10:44:00+09,2024-08-04 16:44:00+09,0日06時00分00秒間
52,20240730101500-14-3320200,雷注意報,倉敷市,2024-07-30 10:15:00+09,2024-07-30 18:41:00+09,0日08時26分00秒間
53,20240728100500-14-3320200,雷注意報,倉敷市,2024-07-28 10:05:00+09,2024-07-28 20:20:00+09,0日10時15分00秒間
54,20240727095000-14-3320200,雷注意報,倉敷市,2024-07-27 09:50:00+09,2024-07-27 22:10:00+09,0日12時20分00秒間
55,20240726101000-14-3320200,雷注意報,倉敷市,2024-07-26 10:10:00+09,2024-07-26 20:10:00+09,0日10時00分00秒間
56,20240723041000-14-3320200,雷注意報,倉敷市,2024-07-23 04:10:00+09,2024-07-26 03:06:00+09,2日22時56分00秒間
57,20240724200600-19-3320200,高潮注意報,倉敷市,2024-07-24 20:06:00+09,2024-07-25 02:54:00+09,0日06時48分00秒間
58,20240723153500-19-3320200,高潮注意報,倉敷市,2024-07-23 15:35:00+09,2024-07-24 02:50:00+09,0日11時15分00秒間
59,20240722152600-19-3320200,高潮注意報,倉敷市,2024-07-22 15:26:00+09,2024-07-23 02:47:00+09,0日11時21分00秒間
60,20240722040500-14-3320200,雷注意報,倉敷市,2024-07-22 04:05:00+09,2024-07-22 21:11:00+09,0日17時06分00秒間
61,20240721153900-19-3320200,高潮注意報,倉敷市,2024-07-21 15:39:00+09,2024-07-22 02:02:00+09,0日10時23分00秒間
62,20240721043200-14-3320200,雷注意報,倉敷市,2024-07-21 04:32:00+09,2024-07-21 21:52:00+09,0日17時20分00秒間
63,20240719042300-14-3320200,雷注意報,倉敷市,2024-07-19 04:23:00+09,2024-07-20 19:48:00+09,1日15時25分00秒間
64,20240718095000-14-3320200,雷注意報,倉敷市,2024-07-18 09:50:00+09,2024-07-18 20:16:00+09,0日10時26分00秒間
65,20240714041700-14-3320200,雷注意報,倉敷市,2024-07-14 04:17:00+09,2024-07-17 20:10:00+09,3日15時53分00秒間
