0,1,2,3,4,5,6
2201,20160416162000-15-3320200,強風注意報,倉敷市,2016-04-16 16:20:00+09,2016-04-17 16:35:00+09,1日00時15分00秒間
2202,20160416162000-16-3320200,波浪注意報,倉敷市,2016-04-16 16:20:00+09,2016-04-17 16:35:00+09,1日00時15分00秒間
2203,20160416042900-21-3320200,乾燥注意報,倉敷市,2016-04-16 04:29:00+09,2016-04-16 21:19:00+09,0日16時50分00秒間
2204,20160414051000-20-3320200,濃霧注意報,倉敷市,2016-04-14 05:10:00+09,2016-04-14 10:08:00+09,0日04時58分00秒間
2205,20160413102500-14-3320200,雷注意報,倉敷市,2016-04-13 10:25:00+09,2016-04-13 22:44:00+09,0日12時19分00秒間
2206,20160411102000-24-3320200,霜注意報,倉敷市,2016-04-11 10:20:00+09,2016-04-12 07:41:00+09,0日21時21分00秒間
2207,20160407044000-14-3320200,雷注意報,倉敷市,2016-04-07 04:40:00+09,2016-04-07 19:00:00+09,0日14時20分00秒間
2208,20160407044000-15-3320200,強風注意報,倉敷市,2016-04-07 04:40:00+09,2016-04-07 19:00:00+09,0日14時20分00秒間
2209,20160407044000-16-3320200,波浪注意報,倉敷市,2016-04-07 04:40:00+09,2016-04-07 19:00:00+09,0日14時20分00秒間
2210,20160407044000-19-3320200,高潮注意報,倉敷市,2016-04-07 04:40:00+09,2016-04-07 13:20:00+09,0日08時40分00秒間
2211,20160405142100-24-3320200,霜注意報,倉敷市,2016-04-05 14:21:00+09,2016-04-06 07:30:00+09,0日17時09分00秒間
2212,20160404091200-20-3320200,濃霧注意報,倉敷市,2016-04-04 09:12:00+09,2016-04-04 11:32:00+09,0日02時20分00秒間
2213,20160402001500-20-3320200,濃霧注意報,倉敷市,2016-04-02 00:15:00+09,2016-04-02 09:55:00+09,0日09時40分00秒間
2214,20160330101800-21-3320200,乾燥注意報,倉敷市,2016-03-30 10:18:00+09,2016-03-31 19:15:00+09,1日08時57分00秒間
2215,20160329094500-24-3320200,霜注意報,倉敷市,2016-03-29 09:45:00+09,2016-03-30 07:30:00+09,0日21時45分00秒間
2216,20160321095000-21-3320200,乾燥注意報,倉敷市,2016-03-21 09:50:00+09,2016-03-29 18:30:00+09,8日08時40分00秒間
2217,20160328101000-24-3320200,霜注意報,倉敷市,2016-03-28 10:10:00+09,2016-03-29 07:52:00+09,0日21時42分00秒間
2218,20160327102100-24-3320200,霜注意報,倉敷市,2016-03-27 10:21:00+09,2016-03-28 07:59:00+09,0日21時38分00秒間
2219,20160327074000-14-3320200,雷注意報,倉敷市,2016-03-27 07:40:00+09,2016-03-27 22:28:00+09,0日14時48分00秒間
2220,20160326095400-24-3320200,霜注意報,倉敷市,2016-03-26 09:54:00+09,2016-03-27 07:40:00+09,0日21時46分00秒間
2221,20160325101500-24-3320200,霜注意報,倉敷市,2016-03-25 10:15:00+09,2016-03-26 07:15:00+09,0日21時00分00秒間
2222,20160324094500-24-3320200,霜注意報,倉敷市,2016-03-24 09:45:00+09,2016-03-25 07:35:00+09,0日21時50分00秒間
2223,20160323102800-24-3320200,霜注意報,倉敷市,2016-03-23 10:28:00+09,2016-03-24 07:27:00+09,0日20時59分00秒間
2224,20160322095900-24-3320200,霜注意報,倉敷市,2016-03-22 09:59:00+09,2016-03-23 07:55:00+09,0日21時56分00秒間
2225,20160321095000-24-3320200,霜注意報,倉敷市,2016-03-21 09:50:00+09,2016-03-22 07:38:00+09,0日21時48分00秒間
2226,20160320101000-24-3320200,霜注意報,倉敷市,2016-03-20 10:10:00+09,2016-03-21 07:15:00+09,0日21時05分00秒間
2227,20160318235800-14-3320200,雷注意報,倉敷市,2016-03-18 23:58:00+09,2016-03-19 04:33:00+09,0日04時35分00秒間
2228,20160316101500-24-3320200,霜注意報,倉敷市,2016-03-16 10:15:00+09,2016-03-17 07:36:00+09,0日21時21分00秒間
2229,20160315100800-24-3320200,霜注意報,倉敷市,2016-03-15 10:08:00+09,2016-03-16 07:30:00+09,0日21時22分00秒間
2230,20160314095000-24-3320200,霜注意報,倉敷市,2016-03-14 09:50:00+09,2016-03-15 07:30:00+09,0日21時40分00秒間
2231,20160308033600-20-3320200,濃霧注意報,倉敷市,2016-03-08 03:36:00+09,2016-03-08 10:08:00+09,0日06時32分00秒間
2232,20160307030700-20-3320200,濃霧注意報,倉敷市,2016-03-07 03:07:00+09,2016-03-07 13:10:00+09,0日10時03分00秒間
2233,20160228204000-14-3320200,雷注意報,倉敷市,2016-02-28 20:40:00+09,2016-03-01 00:10:00+09,1日03時30分00秒間
2234,20160228204000-15-3320200,強風注意報,倉敷市,2016-02-28 20:40:00+09,2016-03-01 00:10:00+09,1日03時30分00秒間
2235,20160228204000-16-3320200,波浪注意報,倉敷市,2016-02-28 20:40:00+09,2016-03-01 00:10:00+09,1日03時30分00秒間
2236,20160228032100-20-3320200,濃霧注意報,倉敷市,2016-02-28 03:21:00+09,2016-02-28 09:50:00+09,0日06時29分00秒間
2237,20160227101500-14-3320200,雷注意報,倉敷市,2016-02-27 10:15:00+09,2016-02-27 18:52:00+09,0日08時37分00秒間
2238,20160225095000-21-3320200,乾燥注意報,倉敷市,2016-02-25 09:50:00+09,2016-02-26 18:20:00+09,1日08時30分00秒間
2239,20160220102900-15-3320200,強風注意報,倉敷市,2016-02-20 10:29:00+09,2016-02-21 04:15:00+09,0日17時46分00秒間
2240,20160220102900-16-3320200,波浪注意報,倉敷市,2016-02-20 10:29:00+09,2016-02-21 04:15:00+09,0日17時46分00秒間
2241,20160213181500-15-3320200,強風注意報,倉敷市,2016-02-13 18:15:00+09,2016-02-15 16:00:00+09,1日21時45分00秒間
2242,20160213181500-16-3320200,波浪注意報,倉敷市,2016-02-13 18:15:00+09,2016-02-15 16:00:00+09,1日21時45分00秒間
2243,20160213200300-20-3320200,濃霧注意報,倉敷市,2016-02-13 20:03:00+09,2016-02-14 06:20:00+09,0日10時17分00秒間
2244,20160213181500-14-3320200,雷注意報,倉敷市,2016-02-13 18:15:00+09,2016-02-14 04:25:00+09,0日10時10分00秒間
2245,20160211112200-21-3320200,乾燥注意報,倉敷市,2016-02-11 11:22:00+09,2016-02-11 18:23:00+09,0日07時01分00秒間
2246,20160208211000-15-3320200,強風注意報,倉敷市,2016-02-08 21:10:00+09,2016-02-09 18:10:00+09,0日21時00分00秒間
2247,20160208211000-16-3320200,波浪注意報,倉敷市,2016-02-08 21:10:00+09,2016-02-09 18:10:00+09,0日21時00分00秒間
2248,20160208211000-14-3320200,雷注意報,倉敷市,2016-02-08 21:10:00+09,2016-02-09 10:00:00+09,0日12時50分00秒間
2249,20160128043600-20-3320200,濃霧注意報,倉敷市,2016-01-28 04:36:00+09,2016-01-28 07:44:00+09,0日03時08分00秒間
2250,20160123102500-23-3320200,低温注意報,倉敷市,2016-01-23 10:25:00+09,2016-01-26 09:28:00+09,2日23時03分00秒間
2251,20160124221300-13-3320200,風雪注意報,倉敷市,2016-01-24 22:13:00+09,2016-01-25 04:25:00+09,0日06時12分00秒間
2252,20160124155500-14-3320200,雷注意報,倉敷市,2016-01-24 15:55:00+09,2016-01-25 04:25:00+09,0日12時30分00秒間
2253,20160124041200-16-3320200,波浪注意報,倉敷市,2016-01-24 04:12:00+09,2016-01-25 04:25:00+09,1日00時13分00秒間
2254,20160124041200-15-3320200,強風注意報,倉敷市,2016-01-24 04:12:00+09,2016-01-24 22:13:00+09,0日18時01分00秒間
2255,20160122070100-20-3320200,濃霧注意報,倉敷市,2016-01-22 07:01:00+09,2016-01-22 09:51:00+09,0日02時50分00秒間
