0,1,2,3,4,5,6
1801,20170917064700-07-3320200,波浪警報,倉敷市,2017-09-17 06:47:00+09,2017-09-17 23:50:00+09,0日17時03分00秒間
1802,20170917125000-08-3320200,高潮警報,倉敷市,2017-09-17 12:50:00+09,2017-09-17 22:30:00+09,0日09時40分00秒間
1803,20170916101500-14-3320200,雷注意報,倉敷市,2017-09-16 10:15:00+09,2017-09-17 22:30:00+09,1日12時15分00秒間
1804,20170917064700-10-3320200,大雨注意報,倉敷市,2017-09-17 06:47:00+09,2017-09-17 12:50:00+09,0日06時03分00秒間
1805,20170917064700-18-3320200,洪水注意報,倉敷市,2017-09-17 06:47:00+09,2017-09-17 12:50:00+09,0日06時03分00秒間
1806,20170917064700-19-3320200,高潮注意報,倉敷市,2017-09-17 06:47:00+09,2017-09-17 12:50:00+09,0日06時03分00秒間
1807,20170916202000-15-3320200,強風注意報,倉敷市,2017-09-16 20:20:00+09,2017-09-17 06:47:00+09,0日10時27分00秒間
1808,20170916202000-16-3320200,波浪注意報,倉敷市,2017-09-16 20:20:00+09,2017-09-17 06:47:00+09,0日10時27分00秒間
1809,20170911160300-14-3320200,雷注意報,倉敷市,2017-09-11 16:03:00+09,2017-09-12 10:10:00+09,0日18時07分00秒間
1810,20170912024000-10-3320200,大雨注意報,倉敷市,2017-09-12 02:40:00+09,2017-09-12 07:10:00+09,0日04時30分00秒間
1811,20170912024000-18-3320200,洪水注意報,倉敷市,2017-09-12 02:40:00+09,2017-09-12 07:10:00+09,0日04時30分00秒間
1812,20170907101500-10-3320200,大雨注意報,倉敷市,2017-09-07 10:15:00+09,2017-09-07 18:05:00+09,0日07時50分00秒間
1813,20170907101500-18-3320200,洪水注意報,倉敷市,2017-09-07 10:15:00+09,2017-09-07 18:05:00+09,0日07時50分00秒間
1814,20170907040500-14-3320200,雷注意報,倉敷市,2017-09-07 04:05:00+09,2017-09-07 18:05:00+09,0日14時00分00秒間
