0,1,2,3,4,5,6
2401,20150411101000-24-3320200,霜注意報,倉敷市,2015-04-11 10:10:00+09,2015-04-12 07:54:00+09,0日21時44分00秒間
2402,20150408095000-24-3320200,霜注意報,倉敷市,2015-04-08 09:50:00+09,2015-04-09 07:27:00+09,0日21時37分00秒間
2403,20150406041400-20-3320200,濃霧注意報,倉敷市,2015-04-06 04:14:00+09,2015-04-06 21:17:00+09,0日17時03分00秒間
2404,20150404162200-14-3320200,雷注意報,倉敷市,2015-04-04 16:22:00+09,2015-04-05 10:10:00+09,0日17時48分00秒間
2405,20150403041000-14-3320200,雷注意報,倉敷市,2015-04-03 04:10:00+09,2015-04-03 21:18:00+09,0日17時08分00秒間
2406,20150330101000-24-3320200,霜注意報,倉敷市,2015-03-30 10:10:00+09,2015-03-31 07:00:00+09,0日20時50分00秒間
2407,20150330101000-21-3320200,乾燥注意報,倉敷市,2015-03-30 10:10:00+09,2015-03-30 19:00:00+09,0日08時50分00秒間
2408,20150330043100-20-3320200,濃霧注意報,倉敷市,2015-03-30 04:31:00+09,2015-03-30 10:10:00+09,0日05時39分00秒間
2409,20150324070600-21-3320200,乾燥注意報,倉敷市,2015-03-24 07:06:00+09,2015-03-28 19:48:00+09,4日12時42分00秒間
2410,20150327101000-24-3320200,霜注意報,倉敷市,2015-03-27 10:10:00+09,2015-03-28 08:14:00+09,0日22時04分00秒間
2411,20150326101300-24-3320200,霜注意報,倉敷市,2015-03-26 10:13:00+09,2015-03-27 07:36:00+09,0日21時23分00秒間
2412,20150325101700-24-3320200,霜注意報,倉敷市,2015-03-25 10:17:00+09,2015-03-26 07:19:00+09,0日21時02分00秒間
2413,20150324101000-24-3320200,霜注意報,倉敷市,2015-03-24 10:10:00+09,2015-03-25 06:52:00+09,0日20時42分00秒間
2414,20150323100100-24-3320200,霜注意報,倉敷市,2015-03-23 10:01:00+09,2015-03-24 07:06:00+09,0日21時05分00秒間
2415,20150322101200-24-3320200,霜注意報,倉敷市,2015-03-22 10:12:00+09,2015-03-23 08:09:00+09,0日21時57分00秒間
2416,20150321100900-24-3320200,霜注意報,倉敷市,2015-03-21 10:09:00+09,2015-03-22 07:27:00+09,0日21時18分00秒間
2417,20150321034600-20-3320200,濃霧注意報,倉敷市,2015-03-21 03:46:00+09,2015-03-21 10:09:00+09,0日06時23分00秒間
2418,20150320034900-20-3320200,濃霧注意報,倉敷市,2015-03-20 03:49:00+09,2015-03-20 10:13:00+09,0日06時24分00秒間
2419,20150318174800-20-3320200,濃霧注意報,倉敷市,2015-03-18 17:48:00+09,2015-03-19 15:10:00+09,0日21時22分00秒間
2420,20150317220500-20-3320200,濃霧注意報,倉敷市,2015-03-17 22:05:00+09,2015-03-18 11:26:00+09,0日13時21分00秒間
2421,20150316215900-20-3320200,濃霧注意報,倉敷市,2015-03-16 21:59:00+09,2015-03-17 14:42:00+09,0日16時43分00秒間
2422,20150316063200-20-3320200,濃霧注意報,倉敷市,2015-03-16 06:32:00+09,2015-03-16 12:12:00+09,0日05時40分00秒間
2423,20150314074500-21-3320200,乾燥注意報,倉敷市,2015-03-14 07:45:00+09,2015-03-14 18:18:00+09,0日10時33分00秒間
2424,20150313153000-14-3320200,雷注意報,倉敷市,2015-03-13 15:30:00+09,2015-03-14 07:45:00+09,0日16時15分00秒間
2425,20150312044000-21-3320200,乾燥注意報,倉敷市,2015-03-12 04:40:00+09,2015-03-13 18:51:00+09,1日14時11分00秒間
2426,20150309102100-15-3320200,強風注意報,倉敷市,2015-03-09 10:21:00+09,2015-03-12 17:50:00+09,3日07時29分00秒間
2427,20150309102100-16-3320200,波浪注意報,倉敷市,2015-03-09 10:21:00+09,2015-03-12 17:50:00+09,3日07時29分00秒間
2428,20150303191500-15-3320200,強風注意報,倉敷市,2015-03-03 19:15:00+09,2015-03-04 18:18:00+09,0日23時03分00秒間
2429,20150303191500-16-3320200,波浪注意報,倉敷市,2015-03-03 19:15:00+09,2015-03-04 18:18:00+09,0日23時03分00秒間
