0,1,2,3,4,5,6
1501,20181106042500-20-3320200,濃霧注意報,倉敷市,2018-11-06 04:25:00+09,2018-11-06 10:12:00+09,0日05時47分00秒間
1502,20181105040000-20-3320200,濃霧注意報,倉敷市,2018-11-05 04:00:00+09,2018-11-05 10:18:00+09,0日06時18分00秒間
1503,20181026161900-15-3320200,強風注意報,倉敷市,2018-10-26 16:19:00+09,2018-10-27 16:13:00+09,0日23時54分00秒間
1504,20181026161900-16-3320200,波浪注意報,倉敷市,2018-10-26 16:19:00+09,2018-10-27 16:13:00+09,0日23時54分00秒間
1505,20181026161900-14-3320200,雷注意報,倉敷市,2018-10-26 16:19:00+09,2018-10-27 04:05:00+09,0日11時46分00秒間
1506,20181026041500-20-3320200,濃霧注意報,倉敷市,2018-10-26 04:15:00+09,2018-10-26 10:30:00+09,0日06時15分00秒間
1507,20181024201400-20-3320200,濃霧注意報,倉敷市,2018-10-24 20:14:00+09,2018-10-25 10:03:00+09,0日13時49分00秒間
1508,20181024043400-20-3320200,濃霧注意報,倉敷市,2018-10-24 04:34:00+09,2018-10-24 09:46:00+09,0日05時12分00秒間
1509,20181023043100-14-3320200,雷注意報,倉敷市,2018-10-23 04:31:00+09,2018-10-23 22:57:00+09,0日18時26分00秒間
1510,20181022041000-20-3320200,濃霧注意報,倉敷市,2018-10-22 04:10:00+09,2018-10-22 10:03:00+09,0日05時53分00秒間
1511,20181018041900-14-3320200,雷注意報,倉敷市,2018-10-18 04:19:00+09,2018-10-19 23:59:00+09,1日19時40分00秒間
1512,20181018041900-20-3320200,濃霧注意報,倉敷市,2018-10-18 04:19:00+09,2018-10-18 10:06:00+09,0日05時47分00秒間
1513,20181014051700-20-3320200,濃霧注意報,倉敷市,2018-10-14 05:17:00+09,2018-10-14 10:05:00+09,0日04時48分00秒間
1514,20181010040500-14-3320200,雷注意報,倉敷市,2018-10-10 04:05:00+09,2018-10-10 16:05:00+09,0日12時00分00秒間
1515,20181005161200-15-3320200,強風注意報,倉敷市,2018-10-05 16:12:00+09,2018-10-07 04:03:00+09,1日11時51分00秒間
1516,20181005161200-16-3320200,波浪注意報,倉敷市,2018-10-05 16:12:00+09,2018-10-07 04:03:00+09,1日11時51分00秒間
1517,20181006125500-19-3320200,高潮注意報,倉敷市,2018-10-06 12:55:00+09,2018-10-06 22:47:00+09,0日09時52分00秒間
1518,20181003041400-20-3320200,濃霧注意報,倉敷市,2018-10-03 04:14:00+09,2018-10-03 10:06:00+09,0日05時52分00秒間
1519,20181001041500-18-3320200,洪水注意報,倉敷市,2018-10-01 04:15:00+09,2018-10-01 10:27:00+09,0日06時12分00秒間
1520,20180930230600-10-3320200,大雨注意報,倉敷市,2018-09-30 23:06:00+09,2018-10-01 04:15:00+09,0日05時09分00秒間
1521,20180930230600-15-3320200,強風注意報,倉敷市,2018-09-30 23:06:00+09,2018-10-01 04:15:00+09,0日05時09分00秒間
1522,20180930230600-16-3320200,波浪注意報,倉敷市,2018-09-30 23:06:00+09,2018-10-01 04:15:00+09,0日05時09分00秒間
1523,20180930134600-04-3320200,洪水警報,倉敷市,2018-09-30 13:46:00+09,2018-10-01 04:15:00+09,0日14時29分00秒間
1524,20180930101400-03-3320200,大雨警報,倉敷市,2018-09-30 10:14:00+09,2018-09-30 23:06:00+09,0日12時52分00秒間
1525,20180930065200-05-3320200,暴風警報,倉敷市,2018-09-30 06:52:00+09,2018-09-30 23:06:00+09,0日16時14分00秒間
1526,20180930065200-07-3320200,波浪警報,倉敷市,2018-09-30 06:52:00+09,2018-09-30 23:06:00+09,0日16時14分00秒間
1527,20180929102300-14-3320200,雷注意報,倉敷市,2018-09-29 10:23:00+09,2018-09-30 23:06:00+09,1日12時43分00秒間
1528,20180930065200-19-3320200,高潮注意報,倉敷市,2018-09-30 06:52:00+09,2018-09-30 17:40:00+09,0日10時48分00秒間
1529,20180930065200-18-3320200,洪水注意報,倉敷市,2018-09-30 06:52:00+09,2018-09-30 13:46:00+09,0日06時54分00秒間
1530,20180929214000-10-3320200,大雨注意報,倉敷市,2018-09-29 21:40:00+09,2018-09-30 10:14:00+09,0日12時34分00秒間
1531,20180929214000-15-3320200,強風注意報,倉敷市,2018-09-29 21:40:00+09,2018-09-30 06:52:00+09,0日09時12分00秒間
1532,20180929214000-16-3320200,波浪注意報,倉敷市,2018-09-29 21:40:00+09,2018-09-30 06:52:00+09,0日09時12分00秒間
1533,20180921183200-14-3320200,雷注意報,倉敷市,2018-09-21 18:32:00+09,2018-09-22 04:06:00+09,0日09時34分00秒間
1534,20180916042300-20-3320200,濃霧注意報,倉敷市,2018-09-16 04:23:00+09,2018-09-16 10:20:00+09,0日05時57分00秒間
1535,20180910010700-10-3320200,大雨注意報,倉敷市,2018-09-10 01:07:00+09,2018-09-10 11:02:00+09,0日09時55分00秒間
1536,20180908163000-14-3320200,雷注意報,倉敷市,2018-09-08 16:30:00+09,2018-09-10 04:25:00+09,1日11時55分00秒間
1537,20180909163200-19-3320200,高潮注意報,倉敷市,2018-09-09 16:32:00+09,2018-09-10 01:07:00+09,0日08時35分00秒間
1538,20180909070600-03-3320200,大雨警報,倉敷市,2018-09-09 07:06:00+09,2018-09-10 01:07:00+09,0日18時01分00秒間
1539,20180909002400-18-3320200,洪水注意報,倉敷市,2018-09-09 00:24:00+09,2018-09-10 01:07:00+09,1日00時43分00秒間
1540,20180908163000-10-3320200,大雨注意報,倉敷市,2018-09-08 16:30:00+09,2018-09-09 07:06:00+09,0日14時36分00秒間
1541,20180908163000-19-3320200,高潮注意報,倉敷市,2018-09-08 16:30:00+09,2018-09-09 00:24:00+09,0日07時54分00秒間
1542,20180907230800-18-3320200,洪水注意報,倉敷市,2018-09-07 23:08:00+09,2018-09-08 04:10:00+09,0日05時02分00秒間
1543,20180907102900-14-3320200,雷注意報,倉敷市,2018-09-07 10:29:00+09,2018-09-08 04:10:00+09,0日17時41分00秒間
1544,20180907131300-19-3320200,高潮注意報,倉敷市,2018-09-07 13:13:00+09,2018-09-07 23:08:00+09,0日09時55分00秒間
1545,20180906161500-19-3320200,高潮注意報,倉敷市,2018-09-06 16:15:00+09,2018-09-06 22:45:00+09,0日06時30分00秒間
1546,20180904042200-14-3320200,雷注意報,倉敷市,2018-09-04 04:22:00+09,2018-09-04 23:35:00+09,0日19時13分00秒間
1547,20180904161000-15-3320200,強風注意報,倉敷市,2018-09-04 16:10:00+09,2018-09-04 20:46:00+09,0日04時36分00秒間
1548,20180904161000-16-3320200,波浪注意報,倉敷市,2018-09-04 16:10:00+09,2018-09-04 20:46:00+09,0日04時36分00秒間
1549,20180904170200-10-3320200,大雨注意報,倉敷市,2018-09-04 17:02:00+09,2018-09-04 19:42:00+09,0日02時40分00秒間
