0,1,2,3,4,5,6
2801,20140108235000-15-3320200,強風注意報,倉敷市,2014-01-08 23:50:00+09,2014-01-09 19:39:00+09,0日19時49分00秒間
2802,20140108235000-16-3320200,波浪注意報,倉敷市,2014-01-08 23:50:00+09,2014-01-09 19:39:00+09,0日19時49分00秒間
2803,20140105041200-21-3320200,乾燥注意報,倉敷市,2014-01-05 04:12:00+09,2014-01-06 16:30:00+09,1日12時18分00秒間
2804,20140101035500-21-3320200,乾燥注意報,倉敷市,2014-01-01 03:55:00+09,2014-01-03 20:11:00+09,2日16時16分00秒間
2805,20140103062200-20-3320200,濃霧注意報,倉敷市,2014-01-03 06:22:00+09,2014-01-03 11:15:00+09,0日04時53分00秒間
2806,20131231163200-15-3320200,強風注意報,倉敷市,2013-12-31 16:32:00+09,2014-01-01 16:38:00+09,1日00時06分00秒間
2807,20131231163200-16-3320200,波浪注意報,倉敷市,2013-12-31 16:32:00+09,2014-01-01 16:38:00+09,1日00時06分00秒間
2808,20131231053900-20-3320200,濃霧注意報,倉敷市,2013-12-31 05:39:00+09,2013-12-31 11:15:00+09,0日05時36分00秒間
2809,20131226203000-15-3320200,強風注意報,倉敷市,2013-12-26 20:30:00+09,2013-12-27 20:34:00+09,1日00時04分00秒間
2810,20131226203000-16-3320200,波浪注意報,倉敷市,2013-12-26 20:30:00+09,2013-12-27 20:34:00+09,1日00時04分00秒間
2811,20131224075000-20-3320200,濃霧注意報,倉敷市,2013-12-24 07:50:00+09,2013-12-24 09:30:00+09,0日01時40分00秒間
2812,20131219162900-15-3320200,強風注意報,倉敷市,2013-12-19 16:29:00+09,2013-12-21 20:30:00+09,2日04時01分00秒間
2813,20131219162900-16-3320200,波浪注意報,倉敷市,2013-12-19 16:29:00+09,2013-12-21 20:30:00+09,2日04時01分00秒間
2814,20131219073500-14-3320200,雷注意報,倉敷市,2013-12-19 07:35:00+09,2013-12-20 16:32:00+09,1日08時57分00秒間
2815,20131214042700-21-3320200,乾燥注意報,倉敷市,2013-12-14 04:27:00+09,2013-12-16 16:09:00+09,2日11時42分00秒間
2816,20131213041600-15-3320200,強風注意報,倉敷市,2013-12-13 04:16:00+09,2013-12-14 22:33:00+09,1日18時17分00秒間
2817,20131213041600-16-3320200,波浪注意報,倉敷市,2013-12-13 04:16:00+09,2013-12-14 22:33:00+09,1日18時17分00秒間
2818,20131213041600-14-3320200,雷注意報,倉敷市,2013-12-13 04:16:00+09,2013-12-13 13:38:00+09,0日09時22分00秒間
2819,20131211043700-15-3320200,強風注意報,倉敷市,2013-12-11 04:37:00+09,2013-12-12 15:31:00+09,1日10時54分00秒間
2820,20131211043700-16-3320200,波浪注意報,倉敷市,2013-12-11 04:37:00+09,2013-12-12 15:31:00+09,1日10時54分00秒間
2821,20131209163600-15-3320200,強風注意報,倉敷市,2013-12-09 16:36:00+09,2013-12-10 17:35:00+09,1日00時59分00秒間
2822,20131209163600-16-3320200,波浪注意報,倉敷市,2013-12-09 16:36:00+09,2013-12-10 17:35:00+09,1日00時59分00秒間
2823,20131209163600-14-3320200,雷注意報,倉敷市,2013-12-09 16:36:00+09,2013-12-10 09:56:00+09,0日17時20分00秒間
2824,20131208215700-20-3320200,濃霧注意報,倉敷市,2013-12-08 21:57:00+09,2013-12-09 10:20:00+09,0日12時23分00秒間
2825,20131207042100-20-3320200,濃霧注意報,倉敷市,2013-12-07 04:21:00+09,2013-12-07 10:14:00+09,0日05時53分00秒間
2826,20131206015000-20-3320200,濃霧注意報,倉敷市,2013-12-06 01:50:00+09,2013-12-06 11:04:00+09,0日09時14分00秒間
2827,20131205034100-20-3320200,濃霧注意報,倉敷市,2013-12-05 03:41:00+09,2013-12-05 11:00:00+09,0日07時19分00秒間
2828,20131203223600-14-3320200,雷注意報,倉敷市,2013-12-03 22:36:00+09,2013-12-04 15:20:00+09,0日16時44分00秒間
2829,20131204041600-20-3320200,濃霧注意報,倉敷市,2013-12-04 04:16:00+09,2013-12-04 10:25:00+09,0日06時09分00秒間
2830,20131202212400-20-3320200,濃霧注意報,倉敷市,2013-12-02 21:24:00+09,2013-12-03 10:12:00+09,0日12時48分00秒間
2831,20131202020200-20-3320200,濃霧注意報,倉敷市,2013-12-02 02:02:00+09,2013-12-02 10:30:00+09,0日08時28分00秒間
2832,20131201031800-20-3320200,濃霧注意報,倉敷市,2013-12-01 03:18:00+09,2013-12-01 09:50:00+09,0日06時32分00秒間
2833,20131128042200-21-3320200,乾燥注意報,倉敷市,2013-11-28 04:22:00+09,2013-11-30 21:09:00+09,2日16時47分00秒間
2834,20131129043200-15-3320200,強風注意報,倉敷市,2013-11-29 04:32:00+09,2013-11-29 19:15:00+09,0日14時43分00秒間
2835,20131129043200-16-3320200,波浪注意報,倉敷市,2013-11-29 04:32:00+09,2013-11-29 19:15:00+09,0日14時43分00秒間
2836,20131127100700-15-3320200,強風注意報,倉敷市,2013-11-27 10:07:00+09,2013-11-28 16:26:00+09,1日06時19分00秒間
2837,20131127100700-16-3320200,波浪注意報,倉敷市,2013-11-27 10:07:00+09,2013-11-28 16:26:00+09,1日06時19分00秒間
2838,20131127155700-14-3320200,雷注意報,倉敷市,2013-11-27 15:57:00+09,2013-11-27 20:45:00+09,0日04時48分00秒間
2839,20131126042400-21-3320200,乾燥注意報,倉敷市,2013-11-26 04:24:00+09,2013-11-26 20:13:00+09,0日15時49分00秒間
2840,20131125041600-15-3320200,強風注意報,倉敷市,2013-11-25 04:16:00+09,2013-11-26 15:57:00+09,1日11時41分00秒間
2841,20131125041600-16-3320200,波浪注意報,倉敷市,2013-11-25 04:16:00+09,2013-11-26 15:57:00+09,1日11時41分00秒間
2842,20131125041600-14-3320200,雷注意報,倉敷市,2013-11-25 04:16:00+09,2013-11-25 14:33:00+09,0日10時17分00秒間
2843,20131124042400-20-3320200,濃霧注意報,倉敷市,2013-11-24 04:24:00+09,2013-11-24 10:26:00+09,0日06時02分00秒間
2844,20131123102700-21-3320200,乾燥注意報,倉敷市,2013-11-23 10:27:00+09,2013-11-24 04:24:00+09,0日17時57分00秒間
