0,1,2,3,4,5,6
2001,20161231211000-20-3320200,濃霧注意報,倉敷市,2016-12-31 21:10:00+09,2017-01-01 10:23:00+09,0日13時13分00秒間
2002,20161231021800-20-3320200,濃霧注意報,倉敷市,2016-12-31 02:18:00+09,2016-12-31 10:10:00+09,0日07時52分00秒間
2003,20161228211800-20-3320200,濃霧注意報,倉敷市,2016-12-28 21:18:00+09,2016-12-29 07:30:00+09,0日10時12分00秒間
2004,20161227082200-15-3320200,強風注意報,倉敷市,2016-12-27 08:22:00+09,2016-12-27 21:16:00+09,0日12時54分00秒間
2005,20161227082200-16-3320200,波浪注意報,倉敷市,2016-12-27 08:22:00+09,2016-12-27 21:16:00+09,0日12時54分00秒間
2006,20161222100100-15-3320200,強風注意報,倉敷市,2016-12-22 10:01:00+09,2016-12-24 04:22:00+09,1日18時21分00秒間
2007,20161222100100-16-3320200,波浪注意報,倉敷市,2016-12-22 10:01:00+09,2016-12-24 04:22:00+09,1日18時21分00秒間
2008,20161220200100-20-3320200,濃霧注意報,倉敷市,2016-12-20 20:01:00+09,2016-12-21 10:25:00+09,0日14時24分00秒間
2009,20161219031300-20-3320200,濃霧注意報,倉敷市,2016-12-19 03:13:00+09,2016-12-19 10:31:00+09,0日07時18分00秒間
2010,20161217212000-20-3320200,濃霧注意報,倉敷市,2016-12-17 21:20:00+09,2016-12-18 10:35:00+09,0日13時15分00秒間
2011,20161215144500-14-3320200,雷注意報,倉敷市,2016-12-15 14:45:00+09,2016-12-16 07:15:00+09,0日16時30分00秒間
2012,20161211032700-20-3320200,濃霧注意報,倉敷市,2016-12-11 03:27:00+09,2016-12-11 10:05:00+09,0日06時38分00秒間
2013,20161209013400-14-3320200,雷注意報,倉敷市,2016-12-09 01:34:00+09,2016-12-09 15:13:00+09,0日13時39分00秒間
2014,20161205201800-15-3320200,強風注意報,倉敷市,2016-12-05 20:18:00+09,2016-12-06 13:46:00+09,0日17時28分00秒間
2015,20161205201800-16-3320200,波浪注意報,倉敷市,2016-12-05 20:18:00+09,2016-12-06 13:46:00+09,0日17時28分00秒間
2016,20161205031500-20-3320200,濃霧注意報,倉敷市,2016-12-05 03:15:00+09,2016-12-05 10:15:00+09,0日07時00分00秒間
2017,20161202212200-20-3320200,濃霧注意報,倉敷市,2016-12-02 21:22:00+09,2016-12-03 10:25:00+09,0日13時03分00秒間
2018,20161126043900-20-3320200,濃霧注意報,倉敷市,2016-11-26 04:39:00+09,2016-11-26 09:54:00+09,0日05時15分00秒間
