0,1,2,3,4,5,6
1947,20170314102500-21-3320200,乾燥注意報,倉敷市,2017-03-14 10:25:00+09,2017-03-20 16:32:00+09,6日06時07分00秒間
1948,20170319102000-24-3320200,霜注意報,倉敷市,2017-03-19 10:20:00+09,2017-03-20 06:30:00+09,0日20時10分00秒間
1949,20170318101500-24-3320200,霜注意報,倉敷市,2017-03-18 10:15:00+09,2017-03-19 06:30:00+09,0日20時15分00秒間
1950,20170317094700-24-3320200,霜注意報,倉敷市,2017-03-17 09:47:00+09,2017-03-18 07:45:00+09,0日21時58分00秒間
1951,20170316101500-24-3320200,霜注意報,倉敷市,2017-03-16 10:15:00+09,2017-03-17 07:37:00+09,0日21時22分00秒間
1952,20170315103300-24-3320200,霜注意報,倉敷市,2017-03-15 10:33:00+09,2017-03-16 07:56:00+09,0日21時23分00秒間
1953,20170315042800-15-3320200,強風注意報,倉敷市,2017-03-15 04:28:00+09,2017-03-15 21:15:00+09,0日16時47分00秒間
1954,20170315042800-16-3320200,波浪注意報,倉敷市,2017-03-15 04:28:00+09,2017-03-15 21:15:00+09,0日16時47分00秒間
1955,20170314102500-24-3320200,霜注意報,倉敷市,2017-03-14 10:25:00+09,2017-03-15 06:30:00+09,0日20時05分00秒間
1956,20170307095700-21-3320200,乾燥注意報,倉敷市,2017-03-07 09:57:00+09,2017-03-12 20:30:00+09,5日10時33分00秒間
1957,20170307042500-15-3320200,強風注意報,倉敷市,2017-03-07 04:25:00+09,2017-03-07 20:00:00+09,0日15時35分00秒間
1958,20170307042500-16-3320200,波浪注意報,倉敷市,2017-03-07 04:25:00+09,2017-03-07 20:00:00+09,0日15時35分00秒間
1959,20170302042700-15-3320200,強風注意報,倉敷市,2017-03-02 04:27:00+09,2017-03-02 23:00:00+09,0日18時33分00秒間
1960,20170302042700-16-3320200,波浪注意報,倉敷市,2017-03-02 04:27:00+09,2017-03-02 23:00:00+09,0日18時33分00秒間
1961,20170301211500-14-3320200,雷注意報,倉敷市,2017-03-01 21:15:00+09,2017-03-02 23:00:00+09,1日01時45分00秒間
1962,20170228042200-21-3320200,乾燥注意報,倉敷市,2017-02-28 04:22:00+09,2017-03-01 16:25:00+09,1日12時03分00秒間
1963,20170222162500-15-3320200,強風注意報,倉敷市,2017-02-22 16:25:00+09,2017-02-23 16:20:00+09,0日23時55分00秒間
1964,20170222162500-16-3320200,波浪注意報,倉敷市,2017-02-22 16:25:00+09,2017-02-23 16:20:00+09,0日23時55分00秒間
1965,20170220041500-15-3320200,強風注意報,倉敷市,2017-02-20 04:15:00+09,2017-02-21 04:20:00+09,1日00時05分00秒間
1966,20170220041500-16-3320200,波浪注意報,倉敷市,2017-02-20 04:15:00+09,2017-02-21 04:20:00+09,1日00時05分00秒間
1967,20170218170300-15-3320200,強風注意報,倉敷市,2017-02-18 17:03:00+09,2017-02-19 04:15:00+09,0日11時12分00秒間
1968,20170218170300-16-3320200,波浪注意報,倉敷市,2017-02-18 17:03:00+09,2017-02-19 04:15:00+09,0日11時12分00秒間
1969,20170216054800-20-3320200,濃霧注意報,倉敷市,2017-02-16 05:48:00+09,2017-02-16 10:18:00+09,0日04時30分00秒間
1970,20170213161700-14-3320200,雷注意報,倉敷市,2017-02-13 16:17:00+09,2017-02-14 14:39:00+09,0日22時22分00秒間
1971,20170211042000-14-3320200,雷注意報,倉敷市,2017-02-11 04:20:00+09,2017-02-11 20:25:00+09,0日16時05分00秒間
1972,20170209041200-15-3320200,強風注意報,倉敷市,2017-02-09 04:12:00+09,2017-02-11 20:25:00+09,2日16時13分00秒間
1973,20170209041200-16-3320200,波浪注意報,倉敷市,2017-02-09 04:12:00+09,2017-02-11 20:25:00+09,2日16時13分00秒間
1974,20170205102900-15-3320200,強風注意報,倉敷市,2017-02-05 10:29:00+09,2017-02-06 22:23:00+09,1日11時54分00秒間
1975,20170205102900-16-3320200,波浪注意報,倉敷市,2017-02-05 10:29:00+09,2017-02-06 22:23:00+09,1日11時54分00秒間
1976,20170130043700-15-3320200,強風注意報,倉敷市,2017-01-30 04:37:00+09,2017-01-30 20:30:00+09,0日15時53分00秒間
1977,20170130043700-16-3320200,波浪注意報,倉敷市,2017-01-30 04:37:00+09,2017-01-30 20:30:00+09,0日15時53分00秒間
1978,20170127214300-20-3320200,濃霧注意報,倉敷市,2017-01-27 21:43:00+09,2017-01-28 10:32:00+09,0日12時49分00秒間
1979,20170126043000-20-3320200,濃霧注意報,倉敷市,2017-01-26 04:30:00+09,2017-01-26 08:10:00+09,0日03時40分00秒間
1980,20170124103400-23-3320200,低温注意報,倉敷市,2017-01-24 10:34:00+09,2017-01-26 08:10:00+09,1日21時36分00秒間
1981,20170123041700-13-3320200,風雪注意報,倉敷市,2017-01-23 04:17:00+09,2017-01-23 15:48:00+09,0日11時31分00秒間
1982,20170123041700-14-3320200,雷注意報,倉敷市,2017-01-23 04:17:00+09,2017-01-23 15:48:00+09,0日11時31分00秒間
1983,20170122041500-16-3320200,波浪注意報,倉敷市,2017-01-22 04:15:00+09,2017-01-23 15:48:00+09,1日11時33分00秒間
1984,20170122041500-15-3320200,強風注意報,倉敷市,2017-01-22 04:15:00+09,2017-01-23 04:17:00+09,1日00時02分00秒間
1985,20170120222700-13-3320200,風雪注意報,倉敷市,2017-01-20 22:27:00+09,2017-01-21 04:31:00+09,0日06時04分00秒間
