1,2,3,4,5,6
20130816101300-14-3320200,雷注意報,倉敷市,2013-08-16 10:13:00+09,2013-08-16 20:39:00+09,0日10時26分00秒間
20130821101300-14-3320200,雷注意報,倉敷市,2013-08-21 10:13:00+09,2013-08-21 22:30:00+09,0日12時17分00秒間
20130822101300-14-3320200,雷注意報,倉敷市,2013-08-22 10:13:00+09,2013-08-25 15:15:00+09,3日05時02分00秒間
20130830043600-14-3320200,雷注意報,倉敷市,2013-08-30 04:36:00+09,2013-08-31 20:54:00+09,1日16時18分00秒間
20130901043200-14-3320200,雷注意報,倉敷市,2013-09-01 04:32:00+09,2013-09-04 15:22:00+09,3日10時50分00秒間
20130912101100-14-3320200,雷注意報,倉敷市,2013-09-12 10:11:00+09,2013-09-12 18:37:00+09,0日08時26分00秒間
20130912202100-14-3320200,雷注意報,倉敷市,2013-09-12 20:21:00+09,2013-09-12 21:32:00+09,0日01時11分00秒間
20130913101200-14-3320200,雷注意報,倉敷市,2013-09-13 10:12:00+09,2013-09-13 19:47:00+09,0日09時35分00秒間
20130914160800-14-3320200,雷注意報,倉敷市,2013-09-14 16:08:00+09,2013-09-14 20:23:00+09,0日04時15分00秒間
20131008215500-14-3320200,雷注意報,倉敷市,2013-10-08 21:55:00+09,2013-10-09 10:37:00+09,0日12時42分00秒間
20131010162000-14-3320200,雷注意報,倉敷市,2013-10-10 16:20:00+09,2013-10-11 16:07:00+09,0日23時47分00秒間
20131024194700-14-3320200,雷注意報,倉敷市,2013-10-24 19:47:00+09,2013-10-25 05:30:00+09,0日09時43分00秒間
20131106201700-14-3320200,雷注意報,倉敷市,2013-11-06 20:17:00+09,2013-11-07 11:38:00+09,0日15時21分00秒間
20131107123000-14-3320200,雷注意報,倉敷市,2013-11-07 12:30:00+09,2013-11-07 14:30:00+09,0日02時00分00秒間
20131109214500-14-3320200,雷注意報,倉敷市,2013-11-09 21:45:00+09,2013-11-10 16:17:00+09,0日18時32分00秒間
20131119000800-14-3320200,雷注意報,倉敷市,2013-11-19 00:08:00+09,2013-11-19 06:51:00+09,0日06時43分00秒間
20131125041600-14-3320200,雷注意報,倉敷市,2013-11-25 04:16:00+09,2013-11-25 14:33:00+09,0日10時17分00秒間
20131127155700-14-3320200,雷注意報,倉敷市,2013-11-27 15:57:00+09,2013-11-27 20:45:00+09,0日04時48分00秒間
20131203223600-14-3320200,雷注意報,倉敷市,2013-12-03 22:36:00+09,2013-12-04 15:20:00+09,0日16時44分00秒間
20131209163600-14-3320200,雷注意報,倉敷市,2013-12-09 16:36:00+09,2013-12-10 09:56:00+09,0日17時20分00秒間
20131213041600-14-3320200,雷注意報,倉敷市,2013-12-13 04:16:00+09,2013-12-13 13:38:00+09,0日09時22分00秒間
