1,2,3,4,5,6
20140911143200-10-3320200,大雨注意報,倉敷市,2014-09-11 14:32:00+09,2014-09-11 15:45:00+09,0日01時13分00秒間
20141006031800-10-3320200,大雨注意報,倉敷市,2014-10-06 03:18:00+09,2014-10-06 07:00:00+09,0日03時42分00秒間
20141013105800-10-3320200,大雨注意報,倉敷市,2014-10-13 10:58:00+09,2014-10-13 19:20:00+09,0日08時22分00秒間
20150621060000-10-3320200,大雨注意報,倉敷市,2015-06-21 06:00:00+09,2015-06-21 07:33:00+09,0日01時33分00秒間
20150621182100-10-3320200,大雨注意報,倉敷市,2015-06-21 18:21:00+09,2015-06-21 20:55:00+09,0日02時34分00秒間
20150623131200-10-3320200,大雨注意報,倉敷市,2015-06-23 13:12:00+09,2015-06-23 14:40:00+09,0日01時28分00秒間
20150626041500-10-3320200,大雨注意報,倉敷市,2015-06-26 04:15:00+09,2015-06-26 20:23:00+09,0日16時08分00秒間
20150716132000-10-3320200,大雨注意報,倉敷市,2015-07-16 13:20:00+09,2015-07-16 22:15:00+09,0日08時55分00秒間
20150717163400-10-3320200,大雨注意報,倉敷市,2015-07-17 16:34:00+09,2015-07-17 19:35:00+09,0日03時01分00秒間
20150728145600-10-3320200,大雨注意報,倉敷市,2015-07-28 14:56:00+09,2015-07-28 18:40:00+09,0日03時44分00秒間
20150729131800-10-3320200,大雨注意報,倉敷市,2015-07-29 13:18:00+09,2015-07-29 18:25:00+09,0日05時07分00秒間
20150810173500-10-3320200,大雨注意報,倉敷市,2015-08-10 17:35:00+09,2015-08-10 19:26:00+09,0日01時51分00秒間
20150817111500-10-3320200,大雨注意報,倉敷市,2015-08-17 11:15:00+09,2015-08-17 15:55:00+09,0日04時40分00秒間
20150820012500-10-3320200,大雨注意報,倉敷市,2015-08-20 01:25:00+09,2015-08-20 17:14:00+09,0日15時49分00秒間
20150825041700-10-3320200,大雨注意報,倉敷市,2015-08-25 04:17:00+09,2015-08-25 21:22:00+09,0日17時05分00秒間
20150901122200-10-3320200,大雨注意報,倉敷市,2015-09-01 12:22:00+09,2015-09-01 16:05:00+09,0日03時43分00秒間
20160612234100-10-3320200,大雨注意報,倉敷市,2016-06-12 23:41:00+09,2016-06-13 03:17:00+09,0日03時36分00秒間
20160620172700-10-3320200,大雨注意報,倉敷市,2016-06-20 17:27:00+09,2016-06-21 05:40:00+09,0日12時13分00秒間
20160622125500-10-3320200,大雨注意報,倉敷市,2016-06-22 12:55:00+09,2016-06-22 20:24:00+09,0日07時29分00秒間
20160623072600-10-3320200,大雨注意報,倉敷市,2016-06-23 07:26:00+09,2016-06-23 21:21:00+09,0日13時55分00秒間
20160624065500-10-3320200,大雨注意報,倉敷市,2016-06-24 06:55:00+09,2016-06-24 09:21:00+09,0日02時26分00秒間
20160625033500-10-3320200,大雨注意報,倉敷市,2016-06-25 03:35:00+09,2016-06-25 05:41:00+09,0日02時06分00秒間
20160629114500-10-3320200,大雨注意報,倉敷市,2016-06-29 11:45:00+09,2016-06-30 04:10:00+09,0日16時25分00秒間
20160708163200-10-3320200,大雨注意報,倉敷市,2016-07-08 16:32:00+09,2016-07-09 09:50:00+09,0日17時18分00秒間
20160721171800-10-3320200,大雨注意報,倉敷市,2016-07-21 17:18:00+09,2016-07-21 19:15:00+09,0日01時57分00秒間
20160726173200-10-3320200,大雨注意報,倉敷市,2016-07-26 17:32:00+09,2016-07-26 20:55:00+09,0日03時23分00秒間
20160731130800-10-3320200,大雨注意報,倉敷市,2016-07-31 13:08:00+09,2016-07-31 18:24:00+09,0日05時16分00秒間
20160801175000-10-3320200,大雨注意報,倉敷市,2016-08-01 17:50:00+09,2016-08-01 20:08:00+09,0日02時18分00秒間
