1,2,3,4,5,6
20160624065500-18-3320200,洪水注意報,倉敷市,2016-06-24 06:55:00+09,2016-06-25 01:07:00+09,0日18時12分00秒間
20160708163200-18-3320200,洪水注意報,倉敷市,2016-07-08 16:32:00+09,2016-07-09 07:57:00+09,0日15時25分00秒間
20160721171800-18-3320200,洪水注意報,倉敷市,2016-07-21 17:18:00+09,2016-07-21 19:15:00+09,0日01時57分00秒間
20160726173200-18-3320200,洪水注意報,倉敷市,2016-07-26 17:32:00+09,2016-07-26 20:55:00+09,0日03時23分00秒間
20160731130800-18-3320200,洪水注意報,倉敷市,2016-07-31 13:08:00+09,2016-07-31 18:24:00+09,0日05時16分00秒間
20160801175000-18-3320200,洪水注意報,倉敷市,2016-08-01 17:50:00+09,2016-08-01 20:08:00+09,0日02時18分00秒間
20160808163600-18-3320200,洪水注意報,倉敷市,2016-08-08 16:36:00+09,2016-08-08 19:10:00+09,0日02時34分00秒間
20160815114700-18-3320200,洪水注意報,倉敷市,2016-08-15 11:47:00+09,2016-08-15 16:54:00+09,0日05時07分00秒間
20160815183500-18-3320200,洪水注意報,倉敷市,2016-08-15 18:35:00+09,2016-08-15 20:15:00+09,0日01時40分00秒間
20160816105500-18-3320200,洪水注意報,倉敷市,2016-08-16 10:55:00+09,2016-08-16 23:01:00+09,0日12時06分00秒間
20160822125900-18-3320200,洪水注意報,倉敷市,2016-08-22 12:59:00+09,2016-08-22 17:30:00+09,0日04時31分00秒間
20160825143800-18-3320200,洪水注意報,倉敷市,2016-08-25 14:38:00+09,2016-08-25 16:16:00+09,0日01時38分00秒間
20160826093700-18-3320200,洪水注意報,倉敷市,2016-08-26 09:37:00+09,2016-08-26 10:47:00+09,0日01時10分00秒間
20160826134000-18-3320200,洪水注意報,倉敷市,2016-08-26 13:40:00+09,2016-08-26 20:07:00+09,0日06時27分00秒間
20160828231000-18-3320200,洪水注意報,倉敷市,2016-08-28 23:10:00+09,2016-08-29 06:51:00+09,0日07時41分00秒間
20160908013900-18-3320200,洪水注意報,倉敷市,2016-09-08 01:39:00+09,2016-09-08 07:51:00+09,0日06時12分00秒間
20160913065900-18-3320200,洪水注意報,倉敷市,2016-09-13 06:59:00+09,2016-09-13 08:57:00+09,0日01時58分00秒間
20160918022600-18-3320200,洪水注意報,倉敷市,2016-09-18 02:26:00+09,2016-09-18 04:40:00+09,0日02時14分00秒間
20160920051700-18-3320200,洪水注意報,倉敷市,2016-09-20 05:17:00+09,2016-09-20 08:36:00+09,0日03時19分00秒間
20160920144500-18-3320200,洪水注意報,倉敷市,2016-09-20 14:45:00+09,2016-09-20 17:35:00+09,0日02時50分00秒間
20160926090500-18-3320200,洪水注意報,倉敷市,2016-09-26 09:05:00+09,2016-09-26 11:33:00+09,0日02時28分00秒間
20170601211100-18-3320200,洪水注意報,倉敷市,2017-06-01 21:11:00+09,2017-06-01 23:18:00+09,0日02時07分00秒間
20170629223600-18-3320200,洪水注意報,倉敷市,2017-06-29 22:36:00+09,2017-06-30 08:13:00+09,0日09時37分00秒間
20170704131500-18-3320200,洪水注意報,倉敷市,2017-07-04 13:15:00+09,2017-07-04 16:12:00+09,0日02時57分00秒間
20170705035900-18-3320200,洪水注意報,倉敷市,2017-07-05 03:59:00+09,2017-07-05 12:20:00+09,0日08時21分00秒間
20170706155100-18-3320200,洪水注意報,倉敷市,2017-07-06 15:51:00+09,2017-07-06 20:30:00+09,0日04時39分00秒間
20170707045500-18-3320200,洪水注意報,倉敷市,2017-07-07 04:55:00+09,2017-07-07 10:25:00+09,0日05時30分00秒間
20170709132800-18-3320200,洪水注意報,倉敷市,2017-07-09 13:28:00+09,2017-07-09 18:42:00+09,0日05時14分00秒間
20170725154800-18-3320200,洪水注意報,倉敷市,2017-07-25 15:48:00+09,2017-07-25 19:06:00+09,0日03時18分00秒間
20170726010800-18-3320200,洪水注意報,倉敷市,2017-07-26 01:08:00+09,2017-07-26 02:10:00+09,0日01時02分00秒間
20170729082600-18-3320200,洪水注意報,倉敷市,2017-07-29 08:26:00+09,2017-07-29 10:40:00+09,0日02時14分00秒間
20170729220100-18-3320200,洪水注意報,倉敷市,2017-07-29 22:01:00+09,2017-07-29 23:38:00+09,0日01時37分00秒間
20170807055300-18-3320200,洪水注意報,倉敷市,2017-08-07 05:53:00+09,2017-08-07 14:13:00+09,0日08時20分00秒間
20170807180800-18-3320200,洪水注意報,倉敷市,2017-08-07 18:08:00+09,2017-08-07 21:05:00+09,0日02時57分00秒間
20170815173200-18-3320200,洪水注意報,倉敷市,2017-08-15 17:32:00+09,2017-08-15 18:47:00+09,0日01時15分00秒間
20170817034000-18-3320200,洪水注意報,倉敷市,2017-08-17 03:40:00+09,2017-08-17 05:29:00+09,0日01時49分00秒間
20170818193200-18-3320200,洪水注意報,倉敷市,2017-08-18 19:32:00+09,2017-08-18 22:15:00+09,0日02時43分00秒間
20170907101500-18-3320200,洪水注意報,倉敷市,2017-09-07 10:15:00+09,2017-09-07 18:05:00+09,0日07時50分00秒間
20170912024000-18-3320200,洪水注意報,倉敷市,2017-09-12 02:40:00+09,2017-09-12 07:10:00+09,0日04時30分00秒間
20170917064700-18-3320200,洪水注意報,倉敷市,2017-09-17 06:47:00+09,2017-09-17 12:50:00+09,0日06時03分00秒間
20170918040000-18-3320200,洪水注意報,倉敷市,2017-09-18 04:00:00+09,2017-09-18 06:25:00+09,0日02時25分00秒間
20171022055300-18-3320200,洪水注意報,倉敷市,2017-10-22 05:53:00+09,2017-10-22 21:42:00+09,0日15時49分00秒間
20171023041800-18-3320200,洪水注意報,倉敷市,2017-10-23 04:18:00+09,2017-10-23 11:15:00+09,0日06時57分00秒間
20171029105600-18-3320200,洪水注意報,倉敷市,2017-10-29 10:56:00+09,2017-10-29 14:48:00+09,0日03時52分00秒間
20180518211500-18-3320200,洪水注意報,倉敷市,2018-05-18 21:15:00+09,2018-05-18 23:35:00+09,0日02時20分00秒間
20180620051600-18-3320200,洪水注意報,倉敷市,2018-06-20 05:16:00+09,2018-06-20 08:57:00+09,0日03時41分00秒間
20180629124600-18-3320200,洪水注意報,倉敷市,2018-06-29 12:46:00+09,2018-06-29 16:12:00+09,0日03時26分00秒間
20180630164600-18-3320200,洪水注意報,倉敷市,2018-06-30 16:46:00+09,2018-06-30 18:30:00+09,0日01時44分00秒間
20180705103300-18-3320200,洪水注意報,倉敷市,2018-07-05 10:33:00+09,2018-07-05 19:40:00+09,0日09時07分00秒間
20180728233500-18-3320200,洪水注意報,倉敷市,2018-07-28 23:35:00+09,2018-07-29 13:03:00+09,0日13時28分00秒間
20180823151200-18-3320200,洪水注意報,倉敷市,2018-08-23 15:12:00+09,2018-08-23 18:17:00+09,0日03時05分00秒間
20180824012300-18-3320200,洪水注意報,倉敷市,2018-08-24 01:23:00+09,2018-08-24 03:02:00+09,0日01時39分00秒間
20180828125400-18-3320200,洪水注意報,倉敷市,2018-08-28 12:54:00+09,2018-08-28 17:10:00+09,0日04時16分00秒間
20180831143800-18-3320200,洪水注意報,倉敷市,2018-08-31 14:38:00+09,2018-08-31 18:29:00+09,0日03時51分00秒間
20180904101600-18-3320200,洪水注意報,倉敷市,2018-09-04 10:16:00+09,2018-09-04 16:10:00+09,0日05時54分00秒間
20180904170200-18-3320200,洪水注意報,倉敷市,2018-09-04 17:02:00+09,2018-09-04 19:42:00+09,0日02時40分00秒間
20180907230800-18-3320200,洪水注意報,倉敷市,2018-09-07 23:08:00+09,2018-09-08 04:10:00+09,0日05時02分00秒間
20180909002400-18-3320200,洪水注意報,倉敷市,2018-09-09 00:24:00+09,2018-09-10 01:07:00+09,1日00時43分00秒間
20180930065200-18-3320200,洪水注意報,倉敷市,2018-09-30 06:52:00+09,2018-09-30 13:46:00+09,0日06時54分00秒間
20181001041500-18-3320200,洪水注意報,倉敷市,2018-10-01 04:15:00+09,2018-10-01 10:27:00+09,0日06時12分00秒間
20190607090500-18-3320200,洪水注意報,倉敷市,2019-06-07 09:05:00+09,2019-06-07 13:27:00+09,0日04時22分00秒間
20190615125500-18-3320200,洪水注意報,倉敷市,2019-06-15 12:55:00+09,2019-06-15 20:12:00+09,0日07時17分00秒間
20190621192200-18-3320200,洪水注意報,倉敷市,2019-06-21 19:22:00+09,2019-06-21 20:33:00+09,0日01時11分00秒間
20190622142800-18-3320200,洪水注意報,倉敷市,2019-06-22 14:28:00+09,2019-06-22 19:24:00+09,0日04時56分00秒間
20190627101200-18-3320200,洪水注意報,倉敷市,2019-06-27 10:12:00+09,2019-06-27 16:04:00+09,0日05時52分00秒間
20190630100400-18-3320200,洪水注意報,倉敷市,2019-06-30 10:04:00+09,2019-06-30 12:07:00+09,0日02時03分00秒間
20190709045000-18-3320200,洪水注意報,倉敷市,2019-07-09 04:50:00+09,2019-07-09 09:42:00+09,0日04時52分00秒間
20190719000500-18-3320200,洪水注意報,倉敷市,2019-07-19 00:05:00+09,2019-07-19 15:50:00+09,0日15時45分00秒間
20190815063000-18-3320200,洪水注意報,倉敷市,2019-08-15 06:30:00+09,2019-08-15 23:10:00+09,0日16時40分00秒間
20190816002800-18-3320200,洪水注意報,倉敷市,2019-08-16 00:28:00+09,2019-08-16 02:39:00+09,0日02時11分00秒間
20190828120700-18-3320200,洪水注意報,倉敷市,2019-08-28 12:07:00+09,2019-08-29 10:10:00+09,0日22時03分00秒間
20191025045100-18-3320200,洪水注意報,倉敷市,2019-10-25 04:51:00+09,2019-10-25 09:55:00+09,0日05時04分00秒間
20200413021700-18-3320200,洪水注意報,倉敷市,2020-04-13 02:17:00+09,2020-04-13 11:21:00+09,0日09時04分00秒間
