datetime,df_test_inversed_plt,predicted_test_plot_inversed_plt
2023-01-01 01:00:00,377.0,
2023-01-01 02:00:00,360.0,
2023-01-01 03:00:00,369.0,
2023-01-01 04:00:00,320.0,
2023-01-01 05:00:00,336.0,
2023-01-01 06:00:00,372.0,
2023-01-01 07:00:00,334.0,
2023-01-01 08:00:00,364.0,
2023-01-01 09:00:00,360.0,
2023-01-01 10:00:00,216.0,
2023-01-01 11:00:00,318.0,
2023-01-01 12:00:00,386.0,
2023-01-01 13:00:00,291.0,
2023-01-01 14:00:00,334.0,
2023-01-01 15:00:00,437.00000000000006,
2023-01-01 16:00:00,324.0,
2023-01-01 17:00:00,221.99999999999997,
2023-01-01 18:00:00,360.0,
2023-01-01 19:00:00,379.0,
2023-01-01 20:00:00,394.99999999999994,
2023-01-01 21:00:00,332.0,
2023-01-01 22:00:00,375.0,
2023-01-01 23:00:00,377.0,
2023-01-02 00:00:00,293.0,
2023-01-02 01:00:00,323.0,
2023-01-02 02:00:00,342.0,
2023-01-02 03:00:00,323.0,
2023-01-02 04:00:00,416.0,
2023-01-02 05:00:00,348.0,
2023-01-02 06:00:00,327.0,
2023-01-02 07:00:00,372.0,
2023-01-02 08:00:00,318.0,
2023-01-02 09:00:00,319.0,
2023-01-02 10:00:00,376.0,
2023-01-02 11:00:00,385.0,
2023-01-02 12:00:00,320.0,
2023-01-02 13:00:00,308.0,
2023-01-02 14:00:00,328.0,
2023-01-02 15:00:00,321.0,
2023-01-02 16:00:00,272.0,
2023-01-02 17:00:00,334.0,
2023-01-02 18:00:00,338.0,
2023-01-02 19:00:00,259.0,
2023-01-02 20:00:00,296.0,
2023-01-02 21:00:00,276.0,
2023-01-02 22:00:00,408.0,
2023-01-02 23:00:00,322.0,
2023-01-03 00:00:00,291.0,
2023-01-03 01:00:00,315.0,
2023-01-03 02:00:00,301.0,
2023-01-03 03:00:00,324.0,
2023-01-03 04:00:00,326.0,
2023-01-03 05:00:00,342.0,
2023-01-03 06:00:00,332.0,
2023-01-03 07:00:00,318.0,
2023-01-03 08:00:00,362.0,
2023-01-03 09:00:00,297.0,
2023-01-03 10:00:00,408.0,
2023-01-03 11:00:00,403.0,
2023-01-03 12:00:00,336.0,
2023-01-03 13:00:00,432.0,
2023-01-03 14:00:00,394.0,
2023-01-03 15:00:00,386.0,
2023-01-03 16:00:00,417.0,
2023-01-03 17:00:00,330.0,
2023-01-03 18:00:00,313.0,
2023-01-03 19:00:00,402.0,
2023-01-03 20:00:00,306.0,
2023-01-03 21:00:00,256.0,
2023-01-03 22:00:00,370.0,
2023-01-03 23:00:00,378.0,
2023-01-04 00:00:00,346.0,308.692946434021
2023-01-04 01:00:00,332.0,305.2364845275879
2023-01-04 02:00:00,293.0,306.25625824928284
2023-01-04 03:00:00,354.0,311.19858026504517
2023-01-04 04:00:00,312.0,322.8839542865753
2023-01-04 05:00:00,314.0,333.0082300901413
2023-01-04 06:00:00,317.0,343.39750492572784
2023-01-04 07:00:00,320.0,357.927836894989
2023-01-04 08:00:00,318.0,373.5586588382721
2023-01-04 09:00:00,340.0,390.4761289358139
2023-01-04 10:00:00,458.00000000000006,410.75767278671265
2023-01-04 11:00:00,473.0,430.8209298849106
2023-01-04 12:00:00,382.0,438.95056915283203
2023-01-04 13:00:00,417.0,438.14577555656433
2023-01-04 14:00:00,352.0,429.25593280792236
2023-01-04 15:00:00,341.0,414.397381067276
2023-01-04 16:00:00,410.0,397.6810476779938
2023-01-04 17:00:00,379.0,383.18020391464233
2023-01-04 18:00:00,353.0,366.75199127197266
2023-01-04 19:00:00,382.0,348.52850210666656
2023-01-04 20:00:00,345.0,335.72953498363495
2023-01-04 21:00:00,314.0,324.78398180007935
2023-01-04 22:00:00,286.0,322.8541946411133
2023-01-04 23:00:00,266.0,319.9544552564621
2023-01-05 00:00:00,271.0,317.26448929309845
2023-01-05 01:00:00,343.0,316.52378010749817
2023-01-05 02:00:00,380.0,318.35083973407745
2023-01-05 03:00:00,349.0,323.08185839653015
2023-01-05 04:00:00,347.0,330.9632785320282
2023-01-05 05:00:00,318.0,341.933434009552
2023-01-05 06:00:00,402.0,356.7972911596298
2023-01-05 07:00:00,345.0,369.08262062072754
2023-01-05 08:00:00,430.0,383.36542439460754
2023-01-05 09:00:00,430.0,397.31734335422516
2023-01-05 10:00:00,450.0,411.3228839635849
2023-01-05 11:00:00,481.99999999999994,421.51121950149536
2023-01-05 12:00:00,433.0,424.76819801330566
2023-01-05 13:00:00,393.0,428.47986245155334
2023-01-05 14:00:00,444.0,429.2019410133362
2023-01-05 15:00:00,338.0,421.20133423805237
2023-01-05 16:00:00,390.0,409.18041157722473
2023-01-05 17:00:00,359.0,389.64584469795227
2023-01-05 18:00:00,342.0,370.170747756958
2023-01-05 19:00:00,282.0,354.4120284318924
2023-01-05 20:00:00,343.0,339.6180546283722
2023-01-05 21:00:00,331.0,327.6225732564926
2023-01-05 22:00:00,288.0,322.4591760635376
2023-01-05 23:00:00,286.0,318.2126770019531
2023-01-06 00:00:00,354.0,315.606339097023
2023-01-06 01:00:00,340.0,312.9124002456665
2023-01-06 02:00:00,374.0,310.06327199935913
2023-01-06 03:00:00,327.0,311.8605719804764
2023-01-06 04:00:00,338.0,318.142991065979
2023-01-06 05:00:00,372.0,329.5015518665314
2023-01-06 06:00:00,385.0,343.1407971382141
2023-01-06 07:00:00,324.0,359.6922926902771
2023-01-06 08:00:00,460.99999999999994,376.4899592399597
2023-01-06 09:00:00,468.0,397.0940226316452
2023-01-06 10:00:00,481.99999999999994,424.4967337846756
2023-01-06 11:00:00,466.0,443.84568536281586
2023-01-06 12:00:00,417.0,447.82452034950256
2023-01-06 13:00:00,448.0,445.37085485458374
2023-01-06 14:00:00,470.0,432.1514525413513
2023-01-06 15:00:00,422.0,413.6576095819473
2023-01-06 16:00:00,406.0,398.6671875715256
2023-01-06 17:00:00,384.0,381.6384519338608
2023-01-06 18:00:00,416.0,363.974276304245
2023-01-06 19:00:00,314.0,349.2437700033188
2023-01-06 20:00:00,288.0,334.5075634717941
2023-01-06 21:00:00,390.0,321.9746811389923
2023-01-06 22:00:00,359.0,312.61993646621704
2023-01-06 23:00:00,316.0,307.0822241306305
2023-01-07 00:00:00,301.0,302.38024950027466
2023-01-07 01:00:00,272.0,303.75454795360565
2023-01-07 02:00:00,306.0,308.7989065647125
2023-01-07 03:00:00,380.0,315.90613174438477
2023-01-07 04:00:00,414.0,325.2267243862152
2023-01-07 05:00:00,294.0,335.8331261873245
2023-01-07 06:00:00,294.0,351.59712624549866
2023-01-07 07:00:00,345.0,368.00500559806824
2023-01-07 08:00:00,393.0,388.41168308258057
2023-01-07 09:00:00,430.0,407.2561025619507
2023-01-07 10:00:00,384.0,422.92653000354767
2023-01-07 11:00:00,384.0,442.01749062538147
2023-01-07 12:00:00,364.0,454.09277522563934
2023-01-07 13:00:00,363.0,449.6718145608902
2023-01-07 14:00:00,384.0,442.161057472229
2023-01-07 15:00:00,313.0,426.59019899368286
2023-01-07 16:00:00,345.0,406.85224986076355
2023-01-07 17:00:00,361.0,387.52906036376953
2023-01-07 18:00:00,321.0,369.7677093744278
2023-01-07 19:00:00,369.0,352.3962689638138
2023-01-07 20:00:00,364.0,340.73278284072876
2023-01-07 21:00:00,242.99999999999997,328.6449873447418
2023-01-07 22:00:00,317.0,317.3590489625931
2023-01-07 23:00:00,312.0,308.0781852006912
2023-01-08 00:00:00,331.0,303.17697393894196
2023-01-08 01:00:00,336.0,301.56437623500824
2023-01-08 02:00:00,353.0,305.0322632789612
2023-01-08 03:00:00,361.0,311.554178416729
2023-01-08 04:00:00,319.0,322.14946353435516
2023-01-08 05:00:00,356.0,335.07415652275085
2023-01-08 06:00:00,432.0,349.5561228990555
2023-01-08 07:00:00,344.0,365.5089461803436
2023-01-08 08:00:00,381.0,384.50110280513763
2023-01-08 09:00:00,380.0,404.15384459495544
2023-01-08 10:00:00,373.0,420.5471649169922
2023-01-08 11:00:00,370.0,433.0870306491852
2023-01-08 12:00:00,323.0,439.4150515794754
2023-01-08 13:00:00,357.0,442.95454931259155
2023-01-08 14:00:00,372.0,438.6382409334183
2023-01-08 15:00:00,299.0,426.9155069589615
2023-01-08 16:00:00,336.0,409.94234240055084
2023-01-08 17:00:00,295.0,388.7093782424927
2023-01-08 18:00:00,338.0,368.57720017433167
2023-01-08 19:00:00,258.0,347.92746090888977
2023-01-08 20:00:00,270.0,328.37026584148407
2023-01-08 21:00:00,342.0,321.73309993743896
2023-01-08 22:00:00,340.0,320.30932545661926
2023-01-08 23:00:00,353.0,319.0389143228531
2023-01-09 00:00:00,328.0,320.3680057525635
2023-01-09 01:00:00,337.0,321.490186214447
2023-01-09 02:00:00,348.0,325.90665578842163
2023-01-09 03:00:00,340.0,332.27161717414856
2023-01-09 04:00:00,346.0,342.01054751873016
2023-01-09 05:00:00,376.0,348.51261055469513
2023-01-09 06:00:00,306.0,355.9764086008072
2023-01-09 07:00:00,339.0,364.15685641765594
2023-01-09 08:00:00,433.0,373.2321664094925
2023-01-09 09:00:00,392.0,381.5565758943558
2023-01-09 10:00:00,385.0,388.1930755376816
2023-01-09 11:00:00,410.0,384.8126907348633
2023-01-09 12:00:00,414.0,376.2864536046982
2023-01-09 13:00:00,357.0,363.2170833349228
2023-01-09 14:00:00,352.0,359.7783143520355
2023-01-09 15:00:00,328.0,358.73860216140747
2023-01-09 16:00:00,445.0,360.69540989398956
2023-01-09 17:00:00,315.0,361.35848736763
2023-01-09 18:00:00,289.0,359.7690360546112
2023-01-09 19:00:00,373.0,359.99795830249786
2023-01-09 20:00:00,286.0,359.200666308403
2023-01-09 21:00:00,362.0,347.7958867549896
2023-01-09 22:00:00,323.0,340.41574144363403
2023-01-09 23:00:00,312.0,334.65964365005493
2023-01-10 00:00:00,322.0,334.30435395240784
2023-01-10 01:00:00,230.0,336.4602749347687
2023-01-10 02:00:00,313.0,341.6663621664047
2023-01-10 03:00:00,332.0,347.35647547245026
2023-01-10 04:00:00,341.0,349.34267270565033
2023-01-10 05:00:00,318.0,353.48965215682983
2023-01-10 06:00:00,350.0,360.9261828660965
2023-01-10 07:00:00,440.99999999999994,362.56661546230316
2023-01-10 08:00:00,483.99999999999994,365.9800171852112
2023-01-10 09:00:00,500.00000000000006,369.98108553886414
2023-01-10 10:00:00,460.00000000000006,373.56702411174774
2023-01-10 11:00:00,477.00000000000006,384.4254698753357
2023-01-10 12:00:00,360.0,391.09886062145233
2023-01-10 13:00:00,385.0,394.91722548007965
2023-01-10 14:00:00,428.0,391.47564339637756
2023-01-10 15:00:00,457.00000000000006,385.061970949173
2023-01-10 16:00:00,461.99999999999994,376.0836389064789
2023-01-10 17:00:00,409.0,365.8791650533676
2023-01-10 18:00:00,351.0,354.31653106212616
2023-01-10 19:00:00,306.0,337.57088220119476
2023-01-10 20:00:00,283.0,326.2334443330765
2023-01-10 21:00:00,376.0,319.8589332103729
2023-01-10 22:00:00,397.99999999999994,316.0117710828781
2023-01-10 23:00:00,317.0,315.92012321949005
2023-01-11 00:00:00,297.0,316.9192922115326
2023-01-11 01:00:00,404.0,321.32100534439087
2023-01-11 02:00:00,347.0,328.21290493011475
2023-01-11 03:00:00,310.0,336.5068885087967
2023-01-11 04:00:00,380.0,347.50581657886505
2023-01-11 05:00:00,360.0,360.8743625879288
2023-01-11 06:00:00,336.0,371.4447122812271
2023-01-11 07:00:00,343.0,387.23844730854034
2023-01-11 08:00:00,380.0,405.10904037952423
2023-01-11 09:00:00,441.99999999999994,418.1990647315979
2023-01-11 10:00:00,516.0,426.98916578292847
2023-01-11 11:00:00,478.00000000000006,431.5429344177246
2023-01-11 12:00:00,472.0,439.6265276670456
2023-01-11 13:00:00,448.0,439.05998396873474
2023-01-11 14:00:00,440.00000000000006,430.60614717006683
2023-01-11 15:00:00,485.0,417.94593501091003
2023-01-11 16:00:00,396.99999999999994,406.87322473526
2023-01-11 17:00:00,450.0,386.88296020030975
2023-01-11 18:00:00,367.0,366.64652466773987
2023-01-11 19:00:00,319.0,352.73899841308594
2023-01-11 20:00:00,314.0,337.6269714832306
2023-01-11 21:00:00,345.0,328.3985695838928
2023-01-11 22:00:00,378.0,321.2617574930191
2023-01-11 23:00:00,347.0,315.0370810031891
2023-01-12 00:00:00,371.0,312.8657126426697
2023-01-12 01:00:00,306.0,314.0721257328987
2023-01-12 02:00:00,297.0,319.68133771419525
2023-01-12 03:00:00,362.0,328.74100291728973
2023-01-12 04:00:00,326.0,337.7571390867233
2023-01-12 05:00:00,326.0,345.0275981426239
2023-01-12 06:00:00,304.0,349.7351002693176
2023-01-12 07:00:00,295.0,355.63629484176636
2023-01-12 08:00:00,467.0,363.3069051504135
2023-01-12 09:00:00,446.0,376.0201960802078
2023-01-12 10:00:00,386.0,389.7675483226776
2023-01-12 11:00:00,422.0,398.1757092475891
2023-01-12 12:00:00,367.0,398.2907255887985
2023-01-12 13:00:00,435.0,394.7209746837616
2023-01-12 14:00:00,397.99999999999994,388.20484614372253
2023-01-12 15:00:00,371.0,381.6055337190628
2023-01-12 16:00:00,448.0,374.19602358341217
2023-01-12 17:00:00,413.0,367.8980337381363
2023-01-12 18:00:00,392.0,357.59929633140564
2023-01-12 19:00:00,298.0,344.32698798179626
2023-01-12 20:00:00,314.0,334.32621717453003
2023-01-12 21:00:00,390.0,327.87693679332733
2023-01-12 22:00:00,267.0,325.18114721775055
2023-01-12 23:00:00,359.0,323.73782908916473
2023-01-13 00:00:00,329.0,321.4893225431442
2023-01-13 01:00:00,384.0,325.91193652153015
2023-01-13 02:00:00,288.0,330.0421607494354
2023-01-13 03:00:00,334.0,334.8149811029434
2023-01-13 04:00:00,350.0,343.38689410686493
2023-01-13 05:00:00,318.0,354.40334236621857
2023-01-13 06:00:00,406.0,369.75028789043427
2023-01-13 07:00:00,429.0,383.75205302238464
2023-01-13 08:00:00,501.99999999999994,396.74043560028076
2023-01-13 09:00:00,426.0,411.95501732826233
2023-01-13 10:00:00,326.0,425.2610088586807
2023-01-13 11:00:00,441.99999999999994,434.66320610046387
2023-01-13 12:00:00,409.0,436.93984365463257
2023-01-13 13:00:00,490.0,432.43068981170654
2023-01-13 14:00:00,417.0,421.5985736846924
2023-01-13 15:00:00,452.0,408.5881551504135
2023-01-13 16:00:00,523.0,390.7357485294342
2023-01-13 17:00:00,457.00000000000006,375.1355745792389
2023-01-13 18:00:00,360.0,357.60970973968506
2023-01-13 19:00:00,283.0,343.18116760253906
2023-01-13 20:00:00,317.0,331.26020872592926
2023-01-13 21:00:00,296.0,322.4003230333328
2023-01-13 22:00:00,245.0,316.9825129508972
2023-01-13 23:00:00,288.0,314.04645001888275
2023-01-14 00:00:00,281.0,312.82894492149353
2023-01-14 01:00:00,320.0,312.41260600090027
2023-01-14 02:00:00,325.0,313.9234138727188
2023-01-14 03:00:00,313.0,321.8709172010422
2023-01-14 04:00:00,270.0,330.6380692720413
2023-01-14 05:00:00,394.0,341.0077511072159
2023-01-14 06:00:00,360.0,351.5543621778488
2023-01-14 07:00:00,338.0,365.02432787418365
2023-01-14 08:00:00,354.0,384.80940878391266
2023-01-14 09:00:00,371.0,403.96270179748535
2023-01-14 10:00:00,377.0,414.372704744339
