0,1,2,3,4,5,6
2601,20140809164200-07-3320200,波浪警報,倉敷市,2014-08-09 16:42:00+09,2014-08-10 14:48:00+09,0日22時06分00秒間
2602,20140809164200-08-3320200,高潮警報,倉敷市,2014-08-09 16:42:00+09,2014-08-10 11:04:00+09,0日18時22分00秒間
2603,20140809164200-18-3320200,洪水注意報,倉敷市,2014-08-09 16:42:00+09,2014-08-10 11:04:00+09,0日18時22分00秒間
2604,20140809040500-10-3320200,大雨注意報,倉敷市,2014-08-09 04:05:00+09,2014-08-09 16:42:00+09,0日12時37分00秒間
2605,20140809040500-15-3320200,強風注意報,倉敷市,2014-08-09 04:05:00+09,2014-08-09 16:42:00+09,0日12時37分00秒間
2606,20140809040500-16-3320200,波浪注意報,倉敷市,2014-08-09 04:05:00+09,2014-08-09 16:42:00+09,0日12時37分00秒間
2607,20140807101700-14-3320200,雷注意報,倉敷市,2014-08-07 10:17:00+09,2014-08-07 23:23:00+09,0日13時06分00秒間
2608,20140805101200-14-3320200,雷注意報,倉敷市,2014-08-05 10:12:00+09,2014-08-06 19:47:00+09,1日09時35分00秒間
2609,20140806063500-10-3320200,大雨注意報,倉敷市,2014-08-06 06:35:00+09,2014-08-06 10:32:00+09,0日03時57分00秒間
2610,20140806063500-18-3320200,洪水注意報,倉敷市,2014-08-06 06:35:00+09,2014-08-06 10:32:00+09,0日03時57分00秒間
2611,20140804160500-14-3320200,雷注意報,倉敷市,2014-08-04 16:05:00+09,2014-08-04 21:30:00+09,0日05時25分00秒間
2612,20140803114300-10-3320200,大雨注意報,倉敷市,2014-08-03 11:43:00+09,2014-08-04 07:59:00+09,0日20時16分00秒間
2613,20140731101000-14-3320200,雷注意報,倉敷市,2014-07-31 10:10:00+09,2014-07-31 19:32:00+09,0日09時22分00秒間
2614,20140730101700-14-3320200,雷注意報,倉敷市,2014-07-30 10:17:00+09,2014-07-30 20:43:00+09,0日10時26分00秒間
2615,20140727090900-14-3320200,雷注意報,倉敷市,2014-07-27 09:09:00+09,2014-07-27 12:07:00+09,0日02時58分00秒間
2616,20140725102200-14-3320200,雷注意報,倉敷市,2014-07-25 10:22:00+09,2014-07-25 19:49:00+09,0日09時27分00秒間
2617,20140721100800-14-3320200,雷注意報,倉敷市,2014-07-21 10:08:00+09,2014-07-21 20:50:00+09,0日10時42分00秒間
2618,20140718101500-14-3320200,雷注意報,倉敷市,2014-07-18 10:15:00+09,2014-07-20 21:53:00+09,2日11時38分00秒間
2619,20140720150300-10-3320200,大雨注意報,倉敷市,2014-07-20 15:03:00+09,2014-07-20 19:28:00+09,0日04時25分00秒間
2620,20140720150300-18-3320200,洪水注意報,倉敷市,2014-07-20 15:03:00+09,2014-07-20 19:28:00+09,0日04時25分00秒間
2621,20140719124700-10-3320200,大雨注意報,倉敷市,2014-07-19 12:47:00+09,2014-07-19 21:17:00+09,0日08時30分00秒間
2622,20140719124700-18-3320200,洪水注意報,倉敷市,2014-07-19 12:47:00+09,2014-07-19 21:17:00+09,0日08時30分00秒間
2623,20140717100900-14-3320200,雷注意報,倉敷市,2014-07-17 10:09:00+09,2014-07-17 18:41:00+09,0日08時32分00秒間
2624,20140715220500-14-3320200,雷注意報,倉敷市,2014-07-15 22:05:00+09,2014-07-16 22:40:00+09,1日00時35分00秒間
2625,20140714215000-19-3320200,高潮注意報,倉敷市,2014-07-14 21:50:00+09,2014-07-15 02:18:00+09,0日04時28分00秒間
2626,20140713161600-19-3320200,高潮注意報,倉敷市,2014-07-13 16:16:00+09,2014-07-14 01:54:00+09,0日09時38分00秒間
2627,20140713014100-14-3320200,雷注意報,倉敷市,2014-07-13 01:41:00+09,2014-07-13 16:16:00+09,0日14時35分00秒間
2628,20140713080600-10-3320200,大雨注意報,倉敷市,2014-07-13 08:06:00+09,2014-07-13 12:21:00+09,0日04時15分00秒間
2629,20140713080600-18-3320200,洪水注意報,倉敷市,2014-07-13 08:06:00+09,2014-07-13 10:34:00+09,0日02時28分00秒間
2630,20140712162700-19-3320200,高潮注意報,倉敷市,2014-07-12 16:27:00+09,2014-07-13 01:41:00+09,0日09時14分00秒間
2631,20140711134500-14-3320200,雷注意報,倉敷市,2014-07-11 13:45:00+09,2014-07-11 18:20:00+09,0日04時35分00秒間
2632,20140709181300-15-3320200,強風注意報,倉敷市,2014-07-09 18:13:00+09,2014-07-11 04:13:00+09,1日10時00分00秒間
2633,20140709181300-16-3320200,波浪注意報,倉敷市,2014-07-09 18:13:00+09,2014-07-11 04:13:00+09,1日10時00分00秒間
2634,20140709102200-14-3320200,雷注意報,倉敷市,2014-07-09 10:22:00+09,2014-07-09 18:13:00+09,0日07時51分00秒間
2635,20140709015300-20-3320200,濃霧注意報,倉敷市,2014-07-09 01:53:00+09,2014-07-09 10:22:00+09,0日08時29分00秒間
2636,20140707024000-14-3320200,雷注意報,倉敷市,2014-07-07 02:40:00+09,2014-07-08 21:37:00+09,1日18時57分00秒間
2637,20140708041400-10-3320200,大雨注意報,倉敷市,2014-07-08 04:14:00+09,2014-07-08 07:39:00+09,0日03時25分00秒間
2638,20140708041400-18-3320200,洪水注意報,倉敷市,2014-07-08 04:14:00+09,2014-07-08 07:39:00+09,0日03時25分00秒間
2639,20140707161300-10-3320200,大雨注意報,倉敷市,2014-07-07 16:13:00+09,2014-07-07 21:16:00+09,0日05時03分00秒間
2640,20140707120500-03-3320200,大雨警報,倉敷市,2014-07-07 12:05:00+09,2014-07-07 16:13:00+09,0日04時08分00秒間
2641,20140707091000-18-3320200,洪水注意報,倉敷市,2014-07-07 09:10:00+09,2014-07-07 15:17:00+09,0日06時07分00秒間
2642,20140707091000-10-3320200,大雨注意報,倉敷市,2014-07-07 09:10:00+09,2014-07-07 12:05:00+09,0日02時55分00秒間
2643,20140704051300-20-3320200,濃霧注意報,倉敷市,2014-07-04 05:13:00+09,2014-07-04 08:03:00+09,0日02時50分00秒間
2644,20140701101000-14-3320200,雷注意報,倉敷市,2014-07-01 10:10:00+09,2014-07-01 21:00:00+09,0日10時50分00秒間
2645,20140630101000-14-3320200,雷注意報,倉敷市,2014-06-30 10:10:00+09,2014-06-30 21:22:00+09,0日11時12分00秒間
2646,20140629140900-14-3320200,雷注意報,倉敷市,2014-06-29 14:09:00+09,2014-06-29 19:50:00+09,0日05時41分00秒間
2647,20140628162400-14-3320200,雷注意報,倉敷市,2014-06-28 16:24:00+09,2014-06-28 21:28:00+09,0日05時04分00秒間
2648,20140626161000-14-3320200,雷注意報,倉敷市,2014-06-26 16:10:00+09,2014-06-26 20:42:00+09,0日04時32分00秒間
2649,20140625101500-14-3320200,雷注意報,倉敷市,2014-06-25 10:15:00+09,2014-06-25 20:29:00+09,0日10時14分00秒間
2650,20140624160300-10-3320200,大雨注意報,倉敷市,2014-06-24 16:03:00+09,2014-06-24 21:54:00+09,0日05時51分00秒間
2651,20140624160300-18-3320200,洪水注意報,倉敷市,2014-06-24 16:03:00+09,2014-06-24 21:54:00+09,0日05時51分00秒間
2652,20140624021800-14-3320200,雷注意報,倉敷市,2014-06-24 02:18:00+09,2014-06-24 21:54:00+09,0日19時36分00秒間
2653,20140620101800-14-3320200,雷注意報,倉敷市,2014-06-20 10:18:00+09,2014-06-20 22:08:00+09,0日11時50分00秒間
2654,20140619175200-14-3320200,雷注意報,倉敷市,2014-06-19 17:52:00+09,2014-06-19 22:05:00+09,0日04時13分00秒間
2655,20140619031100-20-3320200,濃霧注意報,倉敷市,2014-06-19 03:11:00+09,2014-06-19 10:07:00+09,0日06時56分00秒間
