0,1,2,3,4,5,6
1001,20200906233300-18-3320200,洪水注意報,倉敷市,2020-09-06 23:33:00+09,2020-09-07 04:10:00+09,0日04時37分00秒間
1002,20200906161000-19-3320200,高潮注意報,倉敷市,2020-09-06 16:10:00+09,2020-09-07 03:06:00+09,0日10時56分00秒間
1003,20200905040800-14-3320200,雷注意報,倉敷市,2020-09-05 04:08:00+09,2020-09-06 02:20:00+09,0日22時12分00秒間
1004,20200902101000-14-3320200,雷注意報,倉敷市,2020-09-02 10:10:00+09,2020-09-04 21:55:00+09,2日11時45分00秒間
1005,20200902044400-15-3320200,強風注意報,倉敷市,2020-09-02 04:44:00+09,2020-09-03 07:52:00+09,1日03時08分00秒間
1006,20200902044400-16-3320200,波浪注意報,倉敷市,2020-09-02 04:44:00+09,2020-09-03 07:52:00+09,1日03時08分00秒間
1007,20200902163300-19-3320200,高潮注意報,倉敷市,2020-09-02 16:33:00+09,2020-09-03 01:30:00+09,0日08時57分00秒間
1008,20200831100500-14-3320200,雷注意報,倉敷市,2020-08-31 10:05:00+09,2020-08-31 20:17:00+09,0日10時12分00秒間
1009,20200830101200-14-3320200,雷注意報,倉敷市,2020-08-30 10:12:00+09,2020-08-30 20:05:00+09,0日09時53分00秒間
1010,20200829100600-14-3320200,雷注意報,倉敷市,2020-08-29 10:06:00+09,2020-08-29 21:06:00+09,0日11時00分00秒間
1011,20200828100500-14-3320200,雷注意報,倉敷市,2020-08-28 10:05:00+09,2020-08-28 18:55:00+09,0日08時50分00秒間
1012,20200822095000-14-3320200,雷注意報,倉敷市,2020-08-22 09:50:00+09,2020-08-23 23:45:00+09,1日13時55分00秒間
1013,20200821144200-19-3320200,高潮注意報,倉敷市,2020-08-21 14:42:00+09,2020-08-22 02:25:00+09,0日11時43分00秒間
1014,20200821101400-14-3320200,雷注意報,倉敷市,2020-08-21 10:14:00+09,2020-08-21 19:43:00+09,0日09時29分00秒間
1015,20200820180900-19-3320200,高潮注意報,倉敷市,2020-08-20 18:09:00+09,2020-08-21 02:32:00+09,0日08時23分00秒間
1016,20200819161100-19-3320200,高潮注意報,倉敷市,2020-08-19 16:11:00+09,2020-08-20 01:34:00+09,0日09時23分00秒間
1017,20200818160700-19-3320200,高潮注意報,倉敷市,2020-08-18 16:07:00+09,2020-08-19 00:40:00+09,0日08時33分00秒間
1018,20200817160500-19-3320200,高潮注意報,倉敷市,2020-08-17 16:05:00+09,2020-08-18 00:03:00+09,0日07時58分00秒間
1019,20200814094900-14-3320200,雷注意報,倉敷市,2020-08-14 09:49:00+09,2020-08-14 19:53:00+09,0日10時04分00秒間
1020,20200813102100-14-3320200,雷注意報,倉敷市,2020-08-13 10:21:00+09,2020-08-13 19:30:00+09,0日09時09分00秒間
1021,20200812094500-14-3320200,雷注意報,倉敷市,2020-08-12 09:45:00+09,2020-08-12 21:52:00+09,0日12時07分00秒間
1022,20200811100500-14-3320200,雷注意報,倉敷市,2020-08-11 10:05:00+09,2020-08-11 21:10:00+09,0日11時05分00秒間
1023,20200810102000-15-3320200,強風注意報,倉敷市,2020-08-10 10:20:00+09,2020-08-11 01:07:00+09,0日14時47分00秒間
1024,20200810102000-16-3320200,波浪注意報,倉敷市,2020-08-10 10:20:00+09,2020-08-11 01:07:00+09,0日14時47分00秒間
1025,20200808040500-14-3320200,雷注意報,倉敷市,2020-08-08 04:05:00+09,2020-08-08 20:44:00+09,0日16時39分00秒間
1026,20200807094100-14-3320200,雷注意報,倉敷市,2020-08-07 09:41:00+09,2020-08-07 21:14:00+09,0日11時33分00秒間
1027,20200805101500-14-3320200,雷注意報,倉敷市,2020-08-05 10:15:00+09,2020-08-05 18:44:00+09,0日08時29分00秒間
1028,20200802095500-14-3320200,雷注意報,倉敷市,2020-08-02 09:55:00+09,2020-08-02 20:30:00+09,0日10時35分00秒間
1029,20200801175900-10-3320200,大雨注意報,倉敷市,2020-08-01 17:59:00+09,2020-08-01 20:55:00+09,0日02時56分00秒間
1030,20200801100700-14-3320200,雷注意報,倉敷市,2020-08-01 10:07:00+09,2020-08-01 20:55:00+09,0日10時48分00秒間
1031,20200731191200-18-3320200,洪水注意報,倉敷市,2020-07-31 19:12:00+09,2020-07-31 21:09:00+09,0日01時57分00秒間
1032,20200731040600-14-3320200,雷注意報,倉敷市,2020-07-31 04:06:00+09,2020-07-31 21:09:00+09,0日17時03分00秒間
1033,20200731183300-04-3320200,洪水警報,倉敷市,2020-07-31 18:33:00+09,2020-07-31 19:12:00+09,0日00時39分00秒間
1034,20200731173900-10-3320200,大雨注意報,倉敷市,2020-07-31 17:39:00+09,2020-07-31 19:12:00+09,0日01時33分00秒間
