datetime,observed,predicted_06h,predicted_24h,predicted_48h
2023-01-01 00:00:00,334.0,,,
2023-01-01 01:00:00,377.0,,,
2023-01-01 02:00:00,360.0,,,
2023-01-01 03:00:00,369.0,,,
2023-01-01 04:00:00,320.0,,,
2023-01-01 05:00:00,336.0,,,
2023-01-01 06:00:00,372.0,,,
2023-01-01 07:00:00,334.0,,,
2023-01-01 08:00:00,364.0,,,
2023-01-01 09:00:00,360.0,,,
2023-01-01 10:00:00,216.0,,,
2023-01-01 11:00:00,318.0,,,
2023-01-01 12:00:00,386.0,,,
2023-01-01 13:00:00,291.0,,,
2023-01-01 14:00:00,334.0,,,
2023-01-01 15:00:00,437.0,,,
2023-01-01 16:00:00,324.0,,,
2023-01-01 17:00:00,222.0,,,
2023-01-01 18:00:00,360.0,,,
2023-01-01 19:00:00,379.0,,,
2023-01-01 20:00:00,395.0,,,
2023-01-01 21:00:00,332.0,,,
2023-01-01 22:00:00,375.0,,,
2023-01-01 23:00:00,377.0,,,
2023-01-02 00:00:00,293.0,,,
2023-01-02 01:00:00,323.0,,,
2023-01-02 02:00:00,342.0,,,
2023-01-02 03:00:00,323.0,,,
2023-01-02 04:00:00,416.0,,,
2023-01-02 05:00:00,348.0,341.5782763659954,,
2023-01-02 06:00:00,327.0,338.618932723999,,
2023-01-02 07:00:00,372.0,350.8629823923111,,
2023-01-02 08:00:00,318.0,366.8947720825672,,
2023-01-02 09:00:00,319.0,380.6985852122307,,
2023-01-02 10:00:00,376.0,405.0932383537293,,
2023-01-02 11:00:00,385.0,413.127755343914,,
2023-01-02 12:00:00,320.0,423.16738271713257,,
2023-01-02 13:00:00,308.0,432.4724025130272,,
2023-01-02 14:00:00,328.0,415.328723013401,,
2023-01-02 15:00:00,321.0,388.3708804249764,,
2023-01-02 16:00:00,272.0,374.4114949405193,,
2023-01-02 17:00:00,334.0,371.6685364842415,,
2023-01-02 18:00:00,338.0,349.09963870048523,,
2023-01-02 19:00:00,259.0,327.6691970825196,,
2023-01-02 20:00:00,296.0,318.8897086381912,,
2023-01-02 21:00:00,276.0,319.3863039314747,,
2023-01-02 22:00:00,408.0,318.1609396636486,,
2023-01-02 23:00:00,322.0,322.33833861351013,337.2455905675888,
2023-01-03 00:00:00,291.0,325.39609625935555,321.5051457285881,
2023-01-03 01:00:00,315.0,322.52774345874786,319.23657017946243,
2023-01-03 02:00:00,301.0,321.4417776167393,320.9786722064018,
2023-01-03 03:00:00,324.0,318.1251086294651,319.46540343761444,
2023-01-03 04:00:00,326.0,322.8708220422268,339.67102324962616,
2023-01-03 05:00:00,342.0,320.3991658985615,335.6665982604027,
2023-01-03 06:00:00,332.0,329.4723974466324,333.9574436545372,
2023-01-03 07:00:00,318.0,346.20454823970795,352.29254072904587,
2023-01-03 08:00:00,362.0,355.1874741613865,354.641115128994,
2023-01-03 09:00:00,297.0,364.6277239918709,368.0754117965698,
2023-01-03 10:00:00,408.0,367.6138909459114,392.6814252138138,
2023-01-03 11:00:00,403.0,372.86632084846497,388.89278584718704,
2023-01-03 12:00:00,336.0,368.1305002272129,376.46301436424255,
2023-01-03 13:00:00,432.0,361.3032178580761,367.35011172294617,
2023-01-03 14:00:00,394.0,361.36454460024834,365.1851749420166,
2023-01-03 15:00:00,386.0,338.1430651843548,367.3189344406128,
2023-01-03 16:00:00,417.0,352.0521730184555,353.7470808625221,
2023-01-03 17:00:00,330.0,359.01045992970467,353.470939218998,
2023-01-03 18:00:00,313.0,336.50216084718704,339.44838547706604,
2023-01-03 19:00:00,402.0,334.33956521749496,306.56640243530273,
2023-01-03 20:00:00,306.0,318.9574449956417,301.2674921154976,
2023-01-03 21:00:00,256.0,316.7203322350979,296.8780905008316,
2023-01-03 22:00:00,370.0,318.913419932127,311.538408100605,
2023-01-03 23:00:00,378.0,317.18603575229645,309.9387165904045,331.2580677270889
2023-01-04 00:00:00,346.0,320.3280462920666,306.3004533648491,326.1230665445328
2023-01-04 01:00:00,332.0,327.42688792943954,306.7847290635109,323.22626304626465
2023-01-04 02:00:00,293.0,326.7456842958927,304.99720299243927,323.82254284620285
2023-01-04 03:00:00,354.0,323.56313186883926,308.2081204652786,321.92725244164467
2023-01-04 04:00:00,312.0,326.3654470741749,311.8950625061989,340.58789801597595
2023-01-04 05:00:00,314.0,329.58208894729614,320.43244165182114,335.9149030447006
2023-01-04 06:00:00,317.0,332.72933852672577,333.5960783958435,326.17334419488907
2023-01-04 07:00:00,320.0,345.189288020134,341.6974895000458,338.80671018362045
2023-01-04 08:00:00,318.0,363.7029121518135,364.4519948959351,347.64001655578613
2023-01-04 09:00:00,340.0,386.2156365811825,358.096654355526,381.8701315522194
2023-01-04 10:00:00,458.0,392.8366264104843,379.2438737750053,408.6141014099121
2023-01-04 11:00:00,473.0,398.9531695246697,378.6856805086136,410.1069279313088
2023-01-04 12:00:00,382.0,400.82491993904114,365.7213842272759,403.0151240229607
2023-01-04 13:00:00,417.0,396.2002611756325,373.96089470386505,399.7991530895233
2023-01-04 14:00:00,352.0,383.4935486316681,370.45367884635925,395.5731467008591
2023-01-04 15:00:00,341.0,369.8814386725426,370.801197052002,389.8973253071308
2023-01-04 16:00:00,410.0,392.4858391582966,375.4451845884323,381.70222532749176
2023-01-04 17:00:00,379.0,400.8680599331856,360.15592527389526,379.48643988370895
2023-01-04 18:00:00,353.0,357.0344711840153,341.941997051239,352.53003910183907
2023-01-04 19:00:00,382.0,343.0013394355774,336.7920924425125,323.2105316519737
