KEY_CODE,MESH1_ID,MESH2_ID,MESH3_ID,MESH4_ID,OBJ_ID
"513375663","5133","75","66","3","24267"
"513375664","5133","75","66","4","24268"
"513375671","5133","75","67","1","24269"
"513375672","5133","75","67","2","24270"
"513375673","5133","75","67","3","24271"
"513375674","5133","75","67","4","24272"
"513375681","5133","75","68","1","24273"
"513375683","5133","75","68","3","24275"
"513375702","5133","75","70","2","24282"
"513375711","5133","75","71","1","24285"
"513375712","5133","75","71","2","24286"
"513375714","5133","75","71","4","24288"
"513375721","5133","75","72","1","24289"
"513375722","5133","75","72","2","24290"
"513375723","5133","75","72","3","24291"
"513375724","5133","75","72","4","24292"
"513375731","5133","75","73","1","24293"
"513375732","5133","75","73","2","24294"
"513375733","5133","75","73","3","24295"
"513375734","5133","75","73","4","24296"
"513375741","5133","75","74","1","24297"
"513375742","5133","75","74","2","24298"
"513375743","5133","75","74","3","24299"
"513375744","5133","75","74","4","24300"
"513375751","5133","75","75","1","24301"
"513375752","5133","75","75","2","24302"
"513375753","5133","75","75","3","24303"
"513375754","5133","75","75","4","24304"
"513375761","5133","75","76","1","24305"
"513375762","5133","75","76","2","24306"
"513375763","5133","75","76","3","24307"
"513375764","5133","75","76","4","24308"
"513375771","5133","75","77","1","24309"
"513375772","5133","75","77","2","24310"
"513375773","5133","75","77","3","24311"
"513375774","5133","75","77","4","24312"
"513375781","5133","75","78","1","24313"
"513375783","5133","75","78","3","24315"
"513375822","5133","75","82","2","24330"
"513375831","5133","75","83","1","24333"
"513375832","5133","75","83","2","24334"
"513375833","5133","75","83","3","24335"
"513375834","5133","75","83","4","24336"
"513375841","5133","75","84","1","24337"
"513375842","5133","75","84","2","24338"
"513375843","5133","75","84","3","24339"
"513375844","5133","75","84","4","24340"
"513375851","5133","75","85","1","24341"
"513375852","5133","75","85","2","24342"
"513375853","5133","75","85","3","24343"
"513375854","5133","75","85","4","24344"
"513375861","5133","75","86","1","24345"
"513375862","5133","75","86","2","24346"
"513375863","5133","75","86","3","24347"
"513375864","5133","75","86","4","24348"
"513375871","5133","75","87","1","24349"
"513375872","5133","75","87","2","24350"
"513375873","5133","75","87","3","24351"
"513375874","5133","75","87","4","24352"
"513375931","5133","75","93","1","24373"
"513375932","5133","75","93","2","24374"
"513375941","5133","75","94","1","24377"
"513375942","5133","75","94","2","24378"
"513375951","5133","75","95","1","24381"
"513375952","5133","75","95","2","24382"
"513375953","5133","75","95","3","24383"
"513375954","5133","75","95","4","24384"
